match	id_A	token_A	id_B	token_B
0	1-0	persone	1-0	persone
0	1-1	che	1-1	che
0	1-2	magari	1-2	magari
2	1-3	prima	1-3	puoi
2	1-4	avevi	1-4	avere
0	1-5	incontrato	1-5	incontrato
0	1-6	un	1-6	un
0	1-7	po'	1-7	po'
2	2-0	mh	2-0	ah
0	3-0	bah	3-0	bah
1	3-1	eh	_	_
2	4-0	ci	3-1	ehm
2	4-1	son-	4-0	c-
0	4-2	è	4-1	è
0	4-3	sempre	4-2	sempre
0	4-4	pieno	4-3	pieno
0	4-5	di	4-4	di
0	4-6	persone	4-5	persone
0	4-7	che	4-6	che
0	4-8	fanno	4-7	fanno
1	_	_	4-8	l'
0	4-9	elemosina	4-9	elemosina
0	4-10	sotto	4-10	sotto
0	4-11	i	4-11	i
0	4-12	portici	4-12	portici
0	5-0	mhmh	5-0	mhmh
0	6-0	soprattutto	6-0	soprattutto
0	6-1	su	6-1	su
0	6-2	via	6-2	via
0	6-3	indipendenza	6-3	indipendenza
0	6-4	ce	6-4	ce
0	6-5	ne	6-5	ne
0	6-6	sono	6-6	sono
0	6-7	diversi	6-7	diversi
1	_	_	7-0	sì
1	_	_	7-1	è
2	7-0	seriamente	7-2	vero
0	8-0	anche	8-0	anche
0	8-1	sotto	8-1	sotto
0	8-2	i	8-2	i
0	8-3	portici	8-3	portici
0	8-4	di	8-4	di
0	8-5	via	8-5	via
2	9-0	in	9-0	il
0	9-1	viale	9-1	viale
0	10-0	mh	10-0	mh
0	10-1	masini	10-1	masini
0	11-0	perché	11-0	perché
0	11-1	io	11-1	io
0	11-2	passo	11-2	passo
1	_	_	11-3	s-
0	11-3	spesso	11-4	spesso
0	11-4	di	11-5	di
0	11-5	lì	11-6	lì
2	12-0	eh	12-0	ehm
0	13-0	però	13-0	però
0	13-1	a	13-1	a
0	13-2	parte	13-2	parte
2	13-3	sono	13-3	insomma
0	13-4	persone	13-4	persone
2	13-5	{P}	14-0	mhmh
0	13-6	che	15-0	che
0	13-7	fanno	15-1	fanno
0	13-8	l'	15-2	l'
0	13-9	elemosina	15-3	elemosina
0	13-10	sì	15-4	sì
1	14-0	mhmh	_	_
0	15-0	mh	16-0	mh
0	15-1	ah	16-1	ah
0	16-0	incontri	16-2	incontri
0	16-1	anche	16-3	anche
1	16-2	a	_	_
2	16-3	volte	16-4	molte
0	16-4	persone	16-5	persone
0	16-5	che	16-6	che
0	16-6	ti	16-7	ti
0	16-7	fermano	16-8	fermano
0	16-8	per	16-9	per
1	17-0	sì	_	_
2	17-1	{ride}	17-0	ti
2	18-0	x	17-1	chiedono
0	18-1	di	17-2	di
0	18-2	fare	17-3	fare
1	_	_	17-4	beneficenza
1	_	_	17-5	{ride}
2	18-3	beneficienza	18-0	sì
0	18-4	{ride}	18-1	{ride}
0	19-0	esatto	18-2	esatto
0	20-0	{ride}	19-0	{ride}
0	21-0	le	19-1	le
0	21-1	classiche	19-2	classiche
0	21-2	persone	19-3	persone
0	21-3	che	19-4	che
0	21-4	sono	19-5	sono
0	21-5	sotto	19-6	sotto
0	21-6	i	19-7	i
0	21-7	portici	19-8	portici
2	22-0	eh	20-0	ehm
0	23-0	a	20-1	a
0	23-1	volte	20-2	volte
1	23-2	{P}	_	_
0	23-3	persone	21-0	persone
0	23-4	famose	21-1	famose
0	23-5	ogni	21-2	ogni
0	23-6	tanto	21-3	tanto
0	23-7	una	21-4	una
0	23-8	volta	21-5	volta
0	23-9	ho	21-6	ho
0	23-10	incontrato	21-7	incontrato
0	23-11	pif	21-8	pif
0	23-12	ad	21-9	ad
0	23-13	esempio	21-10	esempio
1	_	_	22-0	ah
0	24-0	ah	22-1	ah
2	24-1	si	22-2	sì
2	24-2	si	22-3	sì
2	24-3	si	22-4	sì
0	25-0	eh	23-0	eh
1	25-1	si	_	_
0	25-2	che	23-1	che
2	25-3	era	23-2	ha
0	25-4	un	23-3	un
0	25-5	hotel	23-4	hotel
0	25-6	che	23-5	che
0	25-7	è	23-6	è
0	25-8	lì	23-7	lì
0	25-9	su	23-8	su
0	25-10	via	23-9	via
0	25-11	indipendenza	23-10	indipendenza
0	26-0	anche	24-0	anche
0	26-1	cremonini	24-1	cremonini
0	26-2	dicono	24-2	dicono
0	26-3	che	24-3	che
1	_	_	24-4	si
2	26-4	sia	24-5	aspetta
2	26-5	spetto	25-0	cremoni-
2	27-0	eh	25-1	è
0	27-1	non	25-2	non
0	27-2	l'	25-3	l'
0	27-3	ho	25-4	ho
0	27-4	ancora	25-5	ancora
0	27-5	incontrato	25-6	incontrato
0	27-6	cremonini	25-7	cremonini
0	27-7	{ride}	25-8	{ride}
1	_	_	26-0	x
0	28-0	neanche	26-1	neanche
0	28-1	io	26-2	io
2	28-2	mai	26-3	ohi
0	29-0	però	27-0	però
1	29-1	ho	_	_
2	29-2	detto	27-1	veramente
0	29-3	sì	27-2	sì
0	29-4	tre	27-3	tre
0	29-5	anni	27-4	anni
0	29-6	perché	27-5	perché
0	29-7	io	27-6	io
1	29-8	ci	_	_
1	29-9	andavo	_	_
2	29-10	nel	27-7	sono
2	29-11	duemila	27-8	dal
2	29-12	diciotto	28-0	duemiladiciotto
0	29-13	diciannove	28-1	diciannove
1	_	_	28-2	ve-
0	29-14	sì	28-3	sì
0	29-15	tre	28-4	tre
0	29-16	anni	28-5	anni
0	29-17	che	28-6	che
0	29-18	sono	28-7	sono
0	29-19	lì	28-8	lì
1	_	_	28-9	e
0	29-20	non	28-10	non
0	29-21	ho	28-11	ho
0	29-22	ancora	28-12	ancora
2	29-23	x	28-13	incrociato
2	29-24	quindi	28-14	cremoni-
0	29-25	{ride}	28-15	{ride}
2	30-0	vabbé	29-0	beh
0	30-1	magari	29-1	magari
0	30-2	dai	29-2	dai
0	30-3	quest'	29-3	quest'
0	30-4	anno	29-4	anno
0	30-5	sarà	29-5	sarà
1	30-6	{ride}	_	_
0	30-7	l'	29-6	l'
0	30-8	anno	29-7	anno
0	30-9	buono	29-8	buono
2	31-0	ah	30-0	ma
0	31-1	sì	30-1	sì
0	31-2	chissà	30-2	chissà
2	32-0	allora	30-3	infatti
2	32-1	perfetto	30-4	infatti
0	33-0	e	31-0	e
0	33-1	anche	31-1	anche
0	33-2	mh	31-2	mh
1	33-3	{P}	_	_
0	33-4	per	32-0	per
0	33-5	il	32-1	il
0	33-6	fatto	32-2	fatto
0	33-7	che	32-3	che
0	33-8	hanno	32-4	hanno
0	33-9	messo	32-5	messo
0	33-10	le	32-6	le
0	33-11	luci	32-7	luci
0	33-12	con	32-8	con
0	33-13	le	32-9	le
0	33-14	scritte	32-10	scritte
0	33-15	delle	32-11	delle
0	33-16	canzoni	32-12	canzoni
