match	id_A	token_A	id_B	token_B
0	1-0	ci	1-0	ci
0	1-1	sono	1-1	sono
0	1-2	delle	1-2	delle
0	1-3	università	1-3	università
0	2-0	sì	2-0	sì
0	2-1	no	2-1	no
1	2-2	è	_	_
1	2-3	vero	_	_
1	2-4	in	_	_
1	2-5	città	_	_
2	2-6	e	2-2	le
2	2-7	un	2-3	università
2	2-8	po'	2-4	è
2	2-9	più	2-5	proprio
0	2-10	in	2-6	in
0	2-11	città	2-7	città
1	2-12	c'	_	_
2	2-13	è	2-8	x
2	2-14	tutto	3-0	o
0	3-0	più	3-1	più
0	3-1	nella	3-2	nella
2	3-2	capital-	3-3	capita-
2	4-0	ok	4-0	okay
0	4-1	{P}	4-1	{P}
1	_	_	4-2	okay
2	4-2	ok	4-3	okay
2	4-3	ok	4-4	okay
0	4-4	e	5-0	e
1	_	_	5-1	s-
2	5-0	di	5-2	{P}
2	5-1	em	5-3	in
0	5-2	capitale	5-4	capitale
0	6-0	in	5-5	in
0	6-1	capitale	5-6	capitale
2	6-2	ok	5-7	okay
2	6-3	e	5-8	eh
0	6-4	se	5-9	se
0	6-5	devi	5-10	devi
1	_	_	6-0	di
1	_	_	6-1	in
2	6-6	son	6-2	capitale
2	6-7	che	7-0	però
2	7-0	suono	8-0	posso
2	7-1	ni..	8-1	anche
0	8-0	vabbè	9-0	vabbè
0	8-1	adesso	9-1	adesso
0	8-2	faccio	9-2	faccio
0	8-3	finire	9-3	finire
1	_	_	9-4	qui
1	_	_	10-0	sì
1	_	_	11-0	x
1	_	_	11-1	così
1	_	_	11-2	che
1	_	_	11-3	ci
1	_	_	11-4	vengono
2	9-0	si	12-0	sta
2	10-0	andava	12-1	andando
0	10-1	abbastanza	12-2	abbastanza
0	10-2	bene	12-3	bene
0	10-3	no	12-4	no
0	11-0	sì	13-0	sì
0	12-0	proviamo	14-0	proviamo
1	12-1	a	_	_
0	12-2	vedere	14-1	vedere
0	12-3	se	14-2	se
1	12-4	em	_	_
0	13-0	allora	15-0	allora
0	13-1	dimmi	15-1	dimmi
0	13-2	la	15-2	la
0	13-3	capitale	15-3	capitale
0	13-4	è	15-4	è
0	13-5	molto	15-5	molto
0	13-6	grande	15-6	grande
0	14-0	la	16-0	la
0	14-1	capitale	16-1	capitale
1	_	_	16-2	è
0	14-2	molto	16-3	molto
0	14-3	grande	16-4	grande
1	_	_	16-5	{P}
0	14-4	e	16-6	e
1	14-5	trecento	_	_
2	14-6	sei	16-7	trecentosei
0	14-7	virgola	16-8	virgola
0	14-8	quattro	16-9	quattro
2	14-9	e	16-10	eh
2	14-10	chilometri	16-11	kilometri
0	14-11	quadrati	16-12	quadrati
2	15-0	ok	17-0	okay
0	15-1	e	17-1	e
0	15-2	popolazione	17-2	popolazione
0	16-0	in	18-0	in
2	17-0	e	19-0	eh
0	17-1	quattordici	19-1	quattordici
0	17-2	milioni	19-2	milioni
1	17-3	{P}	_	_
0	17-4	quattordici	19-3	quattordici
0	17-5	punto	19-4	punto
0	17-6	quattro	19-5	quattro
0	17-7	milioni	19-6	milioni
0	18-0	eh	20-0	eh
1	19-0	ceh	_	_
2	19-1	a	21-0	cioè
0	19-2	bologna	21-1	bologna
