match	id_A	token_A	id_B	token_B
0	1-0	ci	1-0	ci
0	1-1	sono	1-1	sono
0	1-2	delle	1-2	delle
0	1-3	università	1-3	università
0	2-0	sì	2-0	sì
0	2-1	no	2-1	no
1	_	_	2-2	è
1	_	_	2-3	vero
1	_	_	2-4	in
1	_	_	2-5	città
2	2-2	le	2-6	e
2	2-3	università	2-7	un
2	2-4	è	2-8	po'
2	2-5	proprio	2-9	più
0	2-6	in	2-10	in
0	2-7	città	2-11	città
1	_	_	2-12	c'
1	_	_	2-13	è
2	3-0	o	2-14	tutto
0	3-1	più	3-0	più
0	3-2	nella	3-1	nella
2	3-3	capita-	3-2	capital-
0	4-0	ok	4-0	ok
0	4-1	{P}	4-1	{P}
1	4-2	ok	_	_
0	4-3	ok	4-2	ok
0	4-4	ok	4-3	ok
0	5-0	e	4-4	e
2	5-1	s-	5-0	di
2	5-2	in	5-1	em
0	5-3	capitale	5-2	capitale
0	5-4	in	6-0	in
0	5-5	capitale	6-1	capitale
0	5-6	ok	6-2	ok
0	5-7	e	6-3	e
0	5-8	se	6-4	se
0	5-9	devi	6-5	devi
1	6-0	di	_	_
1	6-1	in	_	_
1	6-2	capitale	_	_
2	7-0	solo	6-6	son
0	7-1	che	6-7	che
1	_	_	7-0	suono
2	8-0	va	7-1	ni..
2	8-1	be'	8-0	vabbè
0	8-2	adesso	8-1	adesso
0	8-3	faccio	8-2	faccio
0	8-4	finire	8-3	finire
1	8-5	qui	_	_
1	9-0	sì	_	_
1	10-0	detali	_	_
1	10-1	così	_	_
1	10-2	che	_	_
1	10-3	ci	_	_
2	10-4	vengono	9-0	si
2	11-0	vengono	10-0	andava
0	11-1	abbastanza	10-1	abbastanza
0	11-2	bene	10-2	bene
0	11-3	no	10-3	no
0	12-0	sì	11-0	sì
1	12-1	{P}	_	_
0	12-2	proviamo	12-0	proviamo
1	_	_	12-1	a
0	12-3	vedere	12-2	vedere
0	12-4	se	12-3	se
1	_	_	12-4	em
0	13-0	allora	13-0	allora
0	13-1	dimmi	13-1	dimmi
0	13-2	la	13-2	la
0	13-3	capitale	13-3	capitale
0	13-4	è	13-4	è
0	13-5	molto	13-5	molto
0	13-6	grande	13-6	grande
0	14-0	la	14-0	la
0	14-1	capitale	14-1	capitale
1	14-2	è	_	_
0	14-3	molto	14-2	molto
0	14-4	grande	14-3	grande
1	14-5	{P}	_	_
0	14-6	e	14-4	e
1	_	_	14-5	trecento
2	14-7	trecentosei	14-6	sei
0	14-8	virgola	14-7	virgola
0	14-9	quattro	14-8	quattro
0	14-10	e	14-9	e
0	14-11	chilometri	14-10	chilometri
0	14-12	quadrati	14-11	quadrati
0	15-0	ok	15-0	ok
0	15-1	e	15-1	e
0	15-2	popolazione	15-2	popolazione
0	16-0	in	16-0	in
0	17-0	e	17-0	e
0	17-1	quattordici	17-1	quattordici
0	17-2	milioni	17-2	milioni
1	_	_	17-3	{P}
0	17-3	quattordici	17-4	quattordici
0	17-4	punto	17-5	punto
0	17-5	quattro	17-6	quattro
0	17-6	milioni	17-7	milioni
1	_	_	18-0	eh
1	_	_	19-0	ceh
2	18-0	cioè	19-1	a
0	18-1	bologna	19-2	bologna
