match	id_A	token_A	id_B	token_B
0	1-0	bene	0-0	bene
0	2-0	allora	1-0	allora
0	3-0	intanto	2-0	intanto
0	4-0	ero	3-0	ero
0	4-1	curiosa	3-1	curiosa
0	4-2	di	3-2	di
0	4-3	sapere	3-3	sapere
0	5-0	da	4-0	da
0	5-1	quanto	4-1	quanto
0	5-2	tempo	4-2	tempo
0	5-3	c'	4-3	c'
0	5-4	è	4-4	è
0	5-5	questo	4-5	questo
0	5-6	negozio	4-6	negozio
0	5-7	perché	4-7	perché
0	6-0	io	5-0	io
0	6-1	sono	5-1	sono
0	6-2	di	5-2	di
0	6-3	qui	5-3	qui
0	7-0	e	6-0	e
0	7-1	frequento	6-1	frequento
0	7-2	un	6-2	un
0	7-3	po'	6-3	po'
0	7-4	questa	6-4	questa
0	7-5	zona	6-5	zona
0	7-6	ma	6-6	ma
0	7-7	non	6-7	non
0	7-8	l'	6-8	l'
0	7-9	avevo	6-9	avevo
0	7-10	mai	6-10	mai
0	7-11	visto	6-11	visto
0	8-0	no	7-0	no
1	8-1	{P}	_	_
1	8-2	eh	_	_
0	8-3	non	7-1	non
0	8-4	è	7-2	è
0	8-5	così	7-3	così
0	9-0	stranamente	8-0	stranamente
0	10-0	questo	9-0	questo
0	10-1	negozio	9-1	negozio
1	10-2	{P}	_	_
0	10-3	è	9-2	è
0	10-4	già	9-3	già
1	10-5	{P}	_	_
0	10-6	da	9-4	da
0	10-7	ventidue	9-5	ventidue
0	10-8	anni	9-6	anni
0	11-0	okay	10-0	okay
1	_	_	10-1	quindi
1	_	_	10-2	non
1	_	_	10-3	è
1	_	_	10-4	nuovo
0	12-0	sono	11-0	sono
0	12-1	qui	11-1	qui
0	12-2	da	11-2	da
0	12-3	sei	11-3	sei
0	12-4	anni	11-4	anni
0	12-5	no	11-5	no
0	12-6	no	11-6	no
2	12-7	n-	11-7	no
0	12-8	questo	11-8	questo
0	12-9	qua	11-9	qua
0	12-10	non	11-10	non
0	12-11	è	11-11	è
0	12-12	nuovo	11-12	nuovo
1	12-13	è	_	_
0	12-14	di	11-13	di
0	12-15	prima	11-14	prima
0	12-16	era	11-15	era
0	12-17	una	11-16	una
1	12-18	casa	_	_
1	12-19	editrice	_	_
1	12-20	vaesi	_	_
1	13-0	quindi	_	_
1	13-1	non	_	_
1	13-2	è	_	_
2	13-3	nuovo	11-17	@nomenegozio
0	14-0	poi	12-0	poi
