match	id_A	token_A	id_B	token_B
0	0-0	bene	1-0	bene
0	1-0	allora	1-1	allora
0	2-0	intanto	1-2	intanto
0	3-0	ero	1-3	ero
0	3-1	curiosa	1-4	curiosa
0	3-2	di	1-5	di
0	3-3	sapere	1-6	sapere
0	4-0	da	1-7	da
0	4-1	quanto	1-8	quanto
0	4-2	tempo	1-9	tempo
0	4-3	c'	1-10	c'
0	4-4	è	1-11	è
0	4-5	questo	1-12	questo
0	4-6	negozio	1-13	negozio
0	4-7	perché	1-14	perché
0	5-0	io	1-15	io
0	5-1	sono	1-16	sono
0	5-2	di	1-17	di
0	5-3	qui	1-18	qui
0	6-0	e	1-19	e
0	6-1	frequento	1-20	frequento
0	6-2	un	1-21	un
0	6-3	po'	1-22	po'
0	6-4	questa	1-23	questa
0	6-5	zona	1-24	zona
0	6-6	ma	1-25	ma
0	6-7	non	1-26	non
0	6-8	l'	1-27	l'
0	6-9	avevo	1-28	avevo
0	6-10	mai	1-29	mai
0	6-11	visto	1-30	visto
0	7-0	no	2-0	no
1	_	_	2-1	eh
0	7-1	non	2-2	non
0	7-2	è	2-3	è
0	7-3	così	2-4	così
0	8-0	stranamente	3-0	stranamente
0	9-0	questo	4-0	questo
0	9-1	negozio	4-1	negozio
0	9-2	è	4-2	è
0	9-3	già	4-3	già
0	9-4	da	4-4	da
0	9-5	ventidue	4-5	ventidue
0	9-6	anni	4-6	anni
2	10-0	okay	5-0	ok
0	10-1	quindi	5-1	quindi
0	10-2	non	5-2	non
0	10-3	è	5-3	è
0	10-4	nuovo	5-4	nuovo
0	11-0	sono	6-0	sono
0	11-1	qui	6-1	qui
0	11-2	da	6-2	da
0	11-3	sei	6-3	sei
0	11-4	anni	6-4	anni
0	11-5	no	7-0	no
0	11-6	no	7-1	no
0	11-7	no	7-2	no
0	11-8	questo	7-3	questo
0	11-9	qua	7-4	qua
0	11-10	non	7-5	non
0	11-11	è	7-6	è
0	11-12	nuovo	7-7	nuovo
0	11-13	di	7-8	di
0	11-14	prima	7-9	prima
0	11-15	era	7-10	era
0	11-16	una	7-11	una
1	_	_	7-12	casa
1	_	_	7-13	d'
1	_	_	7-14	autrice
2	11-17	@nomenegozio	7-15	vaesi
0	12-0	poi	7-16	poi
0	12-1	hanno	7-17	hanno
0	12-2	chiuso	7-18	chiuso
0	12-3	allora	7-19	allora
0	12-4	già	7-20	già
0	12-5	comprato	7-21	comprato
0	12-6	un'	7-22	un'
0	12-7	altra	7-23	altra
0	12-8	persona	7-24	persona
0	12-9	e	7-25	e
1	12-10	è	_	_
0	12-11	fatta	7-26	fatta
0	12-12	copisteria	7-27	copisteria
2	13-0	okay	8-0	ok
0	14-0	poi	9-0	poi
0	14-1	io	9-1	io
0	14-2	sono	9-2	sono
0	14-3	da	9-3	da
0	14-4	terza	9-4	terza
0	14-5	mano	9-5	mano
0	14-6	che	9-6	che
2	14-7	i-	9-7	i
0	14-8	andando	9-8	andando
0	14-9	avanti	9-9	avanti
0	15-0	mhmh	10-0	mhmh
2	15-1	okay	10-1	ok
2	16-0	mh	11-0	mhmh
0	16-1	noi	12-0	noi
0	16-2	siamo	12-1	siamo
0	16-3	venuti	12-2	venuti
0	16-4	qui	12-3	qui
0	16-5	a	12-4	a
0	16-6	chiedere	12-5	chiedere
0	16-7	a	12-6	a
