tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	SP1	0.24	3.22	2.98	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	 persone che magari prima (avevi) <incon[trato> un po':]	persone che magari prima (avevi) <incon[trato> un po':]	persone che magari prima avevi incontrato un po'
1	SP2	2.28	3.1	0.82	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [m:h]	[m:h]	mh
2	SP2	3.56	5.077	1.517	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 bah e::h	bah e::h	bah eh
3	SP2	5.375	9.215	3.84	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	13	 ci son- è sempre pieno di:: persone che fanno elemosina sotto i porti[ci]	ci son- è sempre pieno di:: persone che fanno elemosina sotto i porti[ci]	ci son- è sempre pieno di persone che fanno elemosina sotto i portici
4	SP1	8.906	9.337	0.431	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [mhmh]	[mhmh]	mhmh
5	SP2	9.795	12.801	3.006	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	 soprattutto su via indipendenza:: ce ne sono [diversi]	soprattutto su via indipendenza:: ce ne sono [diversi]	soprattutto su via indipendenza ce ne sono diversi
6	SP1	12.204	12.668	0.464	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [(seriamente)]	[(seriamente)]	seriamente
7	SP2	13.515	15.515	2.0	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	 anche sotto i portici di via::	anche sotto i portici di via::	anche sotto i portici di via
8	SP2	15.993	17.098	1.105	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 in viale::	in viale::	in viale
9	SP2	18.0	19.417	1.417	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 m:::h masini	m:::h masini	mh masini
10	SP2	19.785	21.184	1.399	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	 perché io passo spesso di lì	perché io passo spesso di lì	perché io passo spesso di lì
11	SP2	22.006	23.343	1.337	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 e::h	e::h	eh
12	SP2	24.392	28.453	4.061	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	10	 però a parte sono persone:: {P} [che fanno] l'elemosina: sì	però a parte sono persone:: {P} [che fanno] l'elemosina: sì	però a parte sono persone {P} che fanno l' elemosina sì
13	SP1	26.496	26.932	0.436	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [mhmh]	[mhmh]	mhmh
14	SP2	28.607	29.411	0.804	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 m:h ah	m:h ah	mh ah
15	SP2	29.619	32.18	2.561	True	0	0	0	0	0	0	0	0	False	False	False	False	True	_	0	0	0	9	 incontri anche a volte persone che ti fermano pe[r:]	incontri anche a volte persone che ti fermano pe[r:]	incontri anche a volte persone che ti fermano per
16	SP1	32.226	33.104	0.878	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	1	 [sì] {ride}	[sì] {ride}	sì {ride}
17	SP2	32.711	34.601	1.89	True	0	0	0	0	0	0	0	0	False	False	False	False	True	16=0.393,18=0.577	0	1	0	3	 xx di fare [beneficie]nza {ride}	xx di fare [beneficie]nza {ride}	xx di fare beneficienza {ride}
18	SP1	33.294	33.871	0.577	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [esatto]	[esatto]	esatto
19	SP1	34.3	35.067	0.767	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	0	 {ride}	{ride}	{ride}
20	SP2	35.214	37.601	2.387	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	 le classiche persone che sono sotto i portici	le classiche persone che sono sotto i portici	le classiche persone che sono sotto i portici
21	SP2	38.49	39.319	0.829	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 e::h	e::h	eh
22	SP2	39.49	43.411	3.921	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	13	 a volte {P} persone famose ogni tanto una volta ho incontrato pif ad esem[pio:]	a volte {P} persone famose ogni tanto una volta ho incontrato pif ad esem[pio:]	a volte {P} persone famose ogni tanto una volta ho incontrato pif ad esempio
