match	id_A	token_A	id_B	token_B
0	1-0	bene	1-0	bene
0	2-0	allora	2-0	allora
0	3-0	intanto	3-0	intanto
0	4-0	ero	4-0	ero
0	4-1	curiosa	4-1	curiosa
0	4-2	di	4-2	di
0	4-3	sapere	4-3	sapere
0	5-0	da	5-0	da
0	5-1	quanto	5-1	quanto
0	5-2	tempo	5-2	tempo
0	5-3	c'	5-3	c'
0	5-4	è	5-4	è
0	5-5	questo	5-5	questo
0	5-6	negozio	5-6	negozio
0	5-7	perché	5-7	perché
0	6-0	io	6-0	io
0	6-1	sono	6-1	sono
0	6-2	di	6-2	di
0	6-3	qui	6-3	qui
0	7-0	e	7-0	e
0	7-1	frequento	7-1	frequento
0	7-2	un	7-2	un
0	7-3	po'	7-3	po'
0	7-4	questa	7-4	questa
0	7-5	zona	7-5	zona
0	7-6	ma	7-6	ma
0	7-7	non	7-7	non
0	7-8	l'	7-8	l'
0	7-9	avevo	7-9	avevo
0	7-10	mai	7-10	mai
0	7-11	visto	7-11	visto
0	8-0	no	8-0	no
0	8-1	{P}	8-1	{P}
0	8-2	eh	8-2	eh
0	8-3	non	8-3	non
0	8-4	è	8-4	è
0	8-5	così	8-5	così
0	9-0	stranamente	9-0	stranamente
0	10-0	questo	10-0	questo
0	10-1	negozio	10-1	negozio
0	10-2	{P}	10-2	{P}
0	10-3	è	10-3	è
0	10-4	già	10-4	già
0	10-5	{P}	10-5	{P}
0	10-6	da	10-6	da
0	10-7	ventidue	10-7	ventidue
0	10-8	anni	10-8	anni
0	11-0	okay	11-0	okay
0	12-0	sono	12-0	sono
0	12-1	qui	12-1	qui
0	12-2	da	12-2	da
0	12-3	sei	12-3	sei
0	12-4	anni	12-4	anni
0	12-5	no	12-5	no
0	12-6	no	12-6	no
0	12-7	n-	12-7	n-
0	12-8	questo	12-8	questo
0	12-9	qua	12-9	qua
0	12-10	non	12-10	non
0	12-11	è	12-11	è
0	12-12	nuovo	12-12	nuovo
0	12-13	è	12-13	è
0	12-14	di	12-14	di
0	12-15	prima	12-15	prima
0	12-16	era	12-16	era
0	12-17	una	12-17	una
1	12-18	casa	_	_
2	12-19	editrice	12-18	calatrice
2	12-20	vaesi	12-19	vaiesi
0	13-0	quindi	13-0	quindi
0	13-1	non	13-1	non
0	13-2	è	13-2	è
0	13-3	nuovo	13-3	nuovo
0	14-0	poi	14-0	poi
0	14-1	hanno	14-1	hanno
0	14-2	chiuso	14-2	chiuso
0	14-3	allora	14-3	allora
1	_	_	14-4	ci
2	14-4	già	14-5	ha
0	14-5	comprato	14-6	comprato
0	14-6	un'	14-7	un'
0	14-7	altra	14-8	altra
0	14-8	persona	14-9	persona
0	14-9	e	14-10	e
0	14-10	ha	14-11	ha
0	14-11	fatta	14-12	fatta
