match	id_A	token_A	id_B	token_B
1	1-0	mh	_	_
1	1-1	negli	_	_
1	1-2	ultimi	_	_
1	1-3	anni	_	_
1	1-4	secondo	_	_
1	1-5	me	_	_
2	1-6	è	1-0	em
2	1-7	aum-	1-1	di-
0	1-8	infatti	1-2	infatti
0	1-9	il	1-3	il
0	1-10	fatto	1-4	fatto
0	1-11	che	1-5	che
2	1-12	è	1-6	ha
0	1-13	aumentato	1-7	aumentato
0	1-14	il	1-8	il
0	1-15	turismo	1-9	turismo
0	2-0	ha	1-10	ha
0	2-1	impattato	1-11	impattato
0	2-2	molto	1-12	molto
0	2-3	anche	1-13	anche
2	2-4	quello	1-14	il
2	2-5	con	1-15	tipo
2	2-6	gli	1-16	degli
2	2-7	affitti	1-17	affari
2	3-0	e	2-0	eh
0	3-1	può	2-1	può
0	3-2	essere	2-2	essere
2	4-0	è	2-3	e'
0	4-1	vero	2-4	vero
0	4-2	è	2-5	è
0	4-3	vero	2-6	vero
0	5-0	perché	3-0	perché
2	5-1	insomma	3-1	dicevano
2	5-2	qui	3-2	che
0	5-3	molte	3-3	molte
0	5-4	persone	3-4	persone
0	5-5	molti	3-5	molti
2	5-6	prorietari	3-6	proprietari
0	5-7	hanno	3-7	hanno
0	5-8	messo	3-8	messo
0	5-9	le	3-9	le
0	5-10	case	3-10	case
0	5-11	su	3-11	su
2	5-12	airbeb	3-12	airbnb
2	6-0	per	3-13	{P}
0	6-1	per	3-14	per
0	6-2	il	3-15	il
0	6-3	turismo	3-16	turismo
2	7-0	mh	4-0	m
2	7-1	mh	4-1	m
0	8-0	e	5-0	e
0	8-1	tutte	5-1	tutte
0	8-2	queste	5-2	queste
0	8-3	case	5-3	case
0	8-4	sono	5-4	sono
0	8-5	state	5-5	state
0	8-6	tolte	5-6	tolte
0	8-7	dal	5-7	dal
0	8-8	mercato	5-8	mercato
0	9-0	della	5-9	della
0	9-1	gente	5-10	gente
0	9-2	che	5-11	che
0	9-3	ci	5-12	ci
0	9-4	deve	5-13	deve
0	9-5	vivere	5-14	vivere
0	9-6	insomma	5-15	insomma
1	10-0	mh	_	_
1	10-1	mh	_	_
1	10-2	{P}	_	_
2	10-3	è	6-0	e'
0	10-4	vero	6-1	vero
0	11-0	quindi	7-0	quindi
0	11-1	sicuramente	7-1	sicuramente
0	11-2	il	7-2	il
0	11-3	turismo	7-3	turismo
0	11-4	ha	7-4	ha
0	11-5	influito	7-5	influito
0	11-6	anche	7-6	anche
0	11-7	su	7-7	su
0	11-8	questo	7-8	questo
1	11-9	su	_	_
0	11-10	questa	7-9	questa
0	11-11	cosa	7-10	cosa
0	11-12	qua	7-11	qua
0	12-0	però	8-0	però
1	12-1	{P}	_	_
0	12-2	capisco	8-1	capisco
0	12-3	anche	8-2	anche
0	12-4	che	8-3	che
0	12-5	vogliano	8-4	vogliano
2	12-6	x	8-5	comunque
0	12-7	incentivare	8-6	incentivare
0	12-8	il	8-7	il
0	12-9	turismo	8-8	turismo
0	12-10	{ride}	8-9	{ride}
1	_	_	8-10	però
0	13-0	eh	9-0	eh
0	13-1	sì	9-1	sì
1	13-2	anche	_	_
1	13-3	loro	_	_
0	14-0	sì	9-2	sì
0	14-1	sì	9-3	sì
0	14-2	sì	9-4	sì
1	15-0	però	_	_
1	16-0	e	_	_
0	16-1	e	10-0	e
0	16-2	invece	10-1	invece
0	16-3	per	10-2	per
0	16-4	il	10-3	il
0	16-5	quanto	10-4	quanto
0	16-6	riguarda	10-5	riguarda
0	16-7	il	10-6	il
0	16-8	lavoro	10-7	lavoro
0	16-9	pensi	10-8	pensi
1	_	_	10-9	che
0	16-10	sia	10-10	sia
0	16-11	un	10-11	un
0	16-12	buon	10-12	buon
0	16-13	posto	10-13	posto
0	16-14	in	10-14	in
0	16-15	cui	10-15	cui
0	16-16	lavorare	10-16	lavorare
0	17-0	cioè	11-0	cioè
1	17-1	s-	_	_
0	17-2	secondo	11-1	secondo
