match	id_A	token_A	id_B	token_B
0	1-0	persone	1-0	persone
0	1-1	che	1-1	che
0	1-2	magari	1-2	magari
2	1-3	puoi	1-3	prima
2	1-4	aver	1-4	avevi
0	1-5	incontrato	1-5	incontrato
0	1-6	un	1-6	un
0	1-7	po'	1-7	po'
1	_	_	2-0	mh
0	2-0	bah	3-0	bah
0	2-1	eh	3-1	eh
1	2-2	{P}	_	_
2	2-3	sì	4-0	ci
2	2-4	cioè	4-1	son-
0	2-5	è	4-2	è
0	2-6	sempre	4-3	sempre
0	2-7	pieno	4-4	pieno
0	2-8	di	4-5	di
0	2-9	persone	4-6	persone
0	2-10	che	4-7	che
0	2-11	fanno	4-8	fanno
2	2-12	emosina	4-9	elemosina
0	2-13	sotto	4-10	sotto
0	2-14	i	4-11	i
0	2-15	portici	4-12	portici
0	3-0	mhmh	5-0	mhmh
0	4-0	soprattutto	6-0	soprattutto
2	4-1	se	6-1	su
2	4-2	vieni	6-2	via
0	4-3	indipendenza	6-3	indipendenza
0	4-4	ce	6-4	ce
0	4-5	ne	6-5	ne
0	4-6	sono	6-6	sono
0	4-7	diversi	6-7	diversi
1	5-0	sì	_	_
1	5-1	è	_	_
2	5-2	vero	7-0	seriamente
0	6-0	anche	8-0	anche
0	6-1	sotto	8-1	sotto
0	6-2	i	8-2	i
0	6-3	portici	8-3	portici
0	6-4	di	8-4	di
0	6-5	via	8-5	via
1	6-6	{P}	_	_
2	6-7	di	9-0	in
0	6-8	viale	9-1	viale
1	6-9	{P}	_	_
0	6-10	mh	10-0	mh
0	6-11	masini	10-1	masini
0	7-0	perché	11-0	perché
0	7-1	io	11-1	io
0	7-2	passo	11-2	passo
0	7-3	spesso	11-3	spesso
0	7-4	di	11-4	di
0	7-5	lì	11-5	lì
2	8-0	ehm	12-0	eh
0	9-0	però	13-0	però
0	9-1	a	13-1	a
0	9-2	parte	13-2	parte
2	9-3	insomma	13-3	sono
0	9-4	persone	13-4	persone
1	_	_	13-5	{P}
0	9-5	che	13-6	che
0	9-6	fanno	13-7	fanno
0	9-7	l'	13-8	l'
0	9-8	elemosina	13-9	elemosina
2	9-9	si	13-10	sì
0	10-0	mhmh	14-0	mhmh
0	11-0	mh	15-0	mh
0	11-1	ah	15-1	ah
1	11-2	{P}	_	_
0	11-3	incontri	16-0	incontri
0	11-4	anche	16-1	anche
1	_	_	16-2	a
2	11-5	molte	16-3	volte
0	11-6	persone	16-4	persone
0	11-7	che	16-5	che
0	11-8	ti	16-6	ti
0	11-9	fermano	16-7	fermano
0	11-10	per	16-8	per
0	12-0	sì	17-0	sì
0	12-1	{ride}	17-1	{ride}
1	12-2	esatto	_	_
2	13-0	chiederti	18-0	x
0	13-1	di	18-1	di
0	13-2	fare	18-2	fare
1	_	_	18-3	beneficienza
1	_	_	18-4	{ride}
2	13-3	beneficenza	19-0	esatto
0	13-4	{ride}	20-0	{ride}
0	13-5	le	21-0	le
0	13-6	classiche	21-1	classiche
0	13-7	persone	21-2	persone
0	13-8	che	21-3	che
0	13-9	sono	21-4	sono
0	13-10	sotto	21-5	sotto
0	13-11	i	21-6	i
0	13-12	portici	21-7	portici
2	14-0	ehm	22-0	eh
0	15-0	a	23-0	a
0	15-1	volte	23-1	volte
0	15-2	{P}	23-2	{P}
0	15-3	persone	23-3	persone
0	15-4	famose	23-4	famose
0	15-5	ogni	23-5	ogni
0	15-6	tanto	23-6	tanto
0	15-7	una	23-7	una
0	15-8	volta	23-8	volta
1	_	_	23-9	ho
0	15-9	incontrato	23-10	incontrato
2	15-10	piff	23-11	pif
0	15-11	ad	23-12	ad
0	15-12	esempio	23-13	esempio
0	16-0	ah	24-0	ah
2	16-1	sì	24-1	si
2	16-2	sì	24-2	si
2	16-3	sì	24-3	si
0	17-0	eh	25-0	eh
2	17-1	so	25-1	si
0	17-2	che	25-2	che
0	17-3	era	25-3	era
1	17-4	in	_	_
0	17-5	un	25-4	un
0	17-6	hotel	25-5	hotel
0	17-7	che	25-6	che
0	17-8	è	25-7	è
0	17-9	lì	25-8	lì
0	17-10	su	25-9	su
0	17-11	via	25-10	via
0	17-12	indipendenza	25-11	indipendenza
0	18-0	anche	26-0	anche
0	18-1	cremonini	26-1	cremonini
0	18-2	dicono	26-2	dicono
0	18-3	che	26-3	che
2	18-4	si	26-4	sia
2	18-5	aspettano	26-5	spetto
0	19-0	eh	27-0	eh
0	19-1	non	27-1	non
1	_	_	27-2	l'
0	19-2	ho	27-3	ho
0	19-3	ancora	27-4	ancora
0	19-4	incontrato	27-5	incontrato
1	19-5	i	_	_
0	19-6	cremonini	27-6	cremonini
0	19-7	{ride}	27-7	{ride}
1	20-0	x	_	_
0	20-1	neanche	28-0	neanche
0	20-2	io	28-1	io
2	20-3	x	28-2	mai
0	21-0	però	29-0	però
1	_	_	29-1	ho
2	21-1	x	29-2	detto
0	21-2	sì	29-3	sì
0	21-3	tre	29-4	tre
0	21-4	anni	29-5	anni
0	21-5	perché	29-6	perché
0	21-6	io	29-7	io
1	_	_	29-8	ci
1	_	_	29-9	andavo
2	21-7	sono	29-10	nel
2	21-8	dal	29-11	duemila
2	21-9	duemiladiciotto	29-12	diciotto
0	21-10	diciannove	29-13	diciannove
0	21-11	sì	29-14	sì
0	21-12	tre	29-15	tre
0	21-13	anni	29-16	anni
0	21-14	che	29-17	che
0	21-15	sono	29-18	sono
0	21-16	lì	29-19	lì
0	21-17	non	29-20	non
0	21-18	ho	29-21	ho
0	21-19	ancora	29-22	ancora
1	_	_	29-23	x
2	21-20	incrociato	29-24	quindi
2	21-21	cremonini	29-25	{ride}
2	22-0	beh	30-0	vabbé
0	22-1	magari	30-1	magari
0	22-2	dai	30-2	dai
0	22-3	quest'	30-3	quest'
0	22-4	anno	30-4	anno
0	22-5	sarà	30-5	sarà
0	22-6	{ride}	30-6	{ride}
0	22-7	l'	30-7	l'
0	22-8	anno	30-8	anno
0	22-9	buono	30-9	buono
1	23-0	{ride}	_	_
2	23-1	ma	31-0	ah
0	23-2	sì	31-1	sì
1	_	_	31-2	chissà
2	23-3	x	32-0	allora
2	23-4	infatti	32-1	perfetto
0	24-0	e	33-0	e
0	24-1	anche	33-1	anche
2	24-2	ehm	33-2	mh
0	24-3	{P}	33-3	{P}
0	24-4	per	33-4	per
0	24-5	il	33-5	il
0	24-6	fatto	33-6	fatto
0	24-7	che	33-7	che
0	24-8	hanno	33-8	hanno
0	24-9	messo	33-9	messo
0	24-10	le	33-10	le
0	24-11	luci	33-11	luci
0	24-12	con	33-12	con
0	24-13	le	33-13	le
0	24-14	scritte	33-14	scritte
0	24-15	delle	33-15	delle
0	24-16	canzoni	33-16	canzoni
