match	id_A	token_A	id_B	token_B
2	1-0	e	1-0	eh
0	1-1	come	1-1	come
0	1-2	tabacco	1-2	tabacco
0	1-3	no	1-3	no
1	2-0	okay	_	_
0	3-0	eh	1-4	eh
0	3-1	di	1-5	di
0	3-2	là	1-6	là
1	3-3	{P}	_	_
0	3-4	lavorando	1-7	lavorando
0	3-5	più	1-8	più
0	3-6	di	1-9	di
1	3-7	tre-	_	_
2	3-8	tremila	1-10	tre-tremi:la
0	3-9	persone	1-11	persone
1	4-0	mhmh	_	_
0	5-0	non	1-12	non
0	5-1	sono	1-13	sono
0	5-2	esattamente	1-14	esattamente
0	5-3	o	1-15	o
0	5-4	tremila	1-16	tremila
0	5-5	o	1-17	o
0	5-6	trentamila	1-18	trentamila
0	5-7	ma	1-19	ma
0	5-8	tremila	1-20	tremila
0	5-9	che	1-21	che
0	5-10	facciamo	1-22	facciamo
1	6-0	mhmh	_	_
0	7-0	ma	2-0	ma
0	7-1	non	2-1	non
0	7-2	si	2-2	si
0	7-3	trovano	2-3	trovano
0	7-4	adesso	2-4	adesso
0	7-5	neanche	2-5	neanche
0	7-6	là	2-6	là
0	7-7	gli	2-7	gli
0	7-8	appartamenti	2-8	appartamenti
0	8-0	eh	3-0	eh
0	8-1	esatto	3-1	esatto
0	8-2	te	3-2	te
0	8-3	lo	3-3	lo
0	8-4	era	3-4	era
0	8-5	{P}	3-5	{P}
0	8-6	questo	3-6	questo
0	8-7	che	3-7	che
0	8-8	volevo	3-8	volevo
0	8-9	chiederti	3-9	chiederti
0	9-0	perché	3-10	perché
2	10-0	ah	4-0	eh
0	10-1	sì	4-1	sì
0	11-0	se	5-0	se
0	11-1	tutti	5-1	tutti
0	11-2	vogliono	5-2	vogliono
0	11-3	vivere	5-3	vivere
0	11-4	lì	5-4	lì
0	12-0	sì	6-0	sì
0	12-1	non	6-1	non
0	12-2	si	6-2	si
0	12-3	trovano	6-3	trovano
0	12-4	appartamenti	6-4	appartamenti
1	13-0	mhmh	_	_
0	14-0	la	6-5	la
0	14-1	verità	6-6	verità
1	_	_	6-7	piuttosto
1	_	_	6-8	che
1	_	_	6-9	ci
1	_	_	6-10	sono
1	_	_	6-11	un
1	_	_	6-12	sacco
1	_	_	6-13	di
1	_	_	6-14	gente
1	_	_	7-0	mhmh
0	15-0	mhmh	8-0	mhmh
0	16-0	piuttosto	9-0	piuttosto
0	16-1	che	9-1	che
1	16-2	{P}	_	_
0	16-3	ci	9-2	ci
0	16-4	sono	9-3	sono
0	16-5	un	9-4	un
0	16-6	sacco	9-5	sacco
0	16-7	di	9-6	di
0	16-8	gente	9-7	gente
0	17-0	come	10-0	come
0	17-1	non	10-1	non
0	17-2	vuole	10-2	vuole
0	17-3	dare	10-3	dare
0	17-4	appartamenti	10-4	appartamenti
0	17-5	per	10-5	per
0	17-6	la	10-6	la
0	17-7	famiglia	10-7	famiglia
1	_	_	10-8	{P}
0	18-0	un	10-9	un
0	18-1	po'	10-10	po'
0	18-2	che	10-11	che
0	18-3	danno	10-12	danno
0	18-4	un	10-13	un
0	18-5	po'	10-14	po'
0	18-6	di	10-15	di
0	18-7	persone	10-16	persone
1	_	_	11-0	mhmh
0	18-8	che	12-0	che
0	18-9	dopo	12-1	dopo
0	18-10	fanno	12-2	fanno
0	18-11	la	12-3	la
0	18-12	storia	12-4	storia
1	19-0	mhmh	_	_
2	20-0	mhmh	13-0	allora
2	21-0	ora	13-1	{P}
0	22-0	per	13-2	per
0	22-1	pochi	13-3	pochi
0	22-2	che	13-4	che
0	22-3	tutti	13-5	tutti
0	22-4	quanti	13-6	quanti
2	23-0	{sospira}	13-7	{inspira}
0	24-0	sì	14-0	sì
0	24-1	sì	14-1	sì
0	24-2	sì	14-2	sì
0	24-3	certo	14-3	certo
0	24-4	capito	14-4	capito
1	25-0	mh	_	_
2	25-1	mh	14-5	{P}
0	26-0	mh	14-6	mh
2	26-1	e	14-7	eh
0	26-2	ma	14-8	ma
2	26-3	se	14-9	se-
0	26-4	se	14-10	se
0	26-5	potessi	14-11	potessi
0	26-6	un	14-12	un
0	26-7	giorno	14-13	giorno
0	26-8	vorresti	14-14	vorresti
0	26-9	vivere	14-15	vivere
0	26-10	in	14-16	in
0	26-11	città	14-17	città
1	26-12	o	_	_
0	27-0	assolutamente	15-0	assolutamente
0	27-1	io	15-1	io
0	27-2	sto	15-2	sto
0	27-3	provando	15-3	provando
0	27-4	tutti	15-4	tutti
