match	id_A	token_A	id_B	token_B
1	_	_	1-0	e
0	1-0	come	1-1	come
0	1-1	tabacco	1-2	tabacco
0	1-2	no	1-3	no
2	1-3	eh	1-4	e
0	1-4	di	1-5	di
0	1-5	là	1-6	là
1	1-6	{P}	_	_
0	1-7	lavorando	1-7	lavorando
0	1-8	più	1-8	più
0	1-9	di	1-9	di
1	_	_	1-10	tre
1	_	_	1-11	{P}
0	1-10	tre	1-12	tre
2	1-11	tremila	1-13	mila
0	1-12	persone	1-14	persone
0	1-13	non	1-15	non
0	1-14	sono	1-16	sono
0	1-15	esattamente	1-17	esattamente
0	1-16	o	1-18	o
0	1-17	tremila	1-19	tremila
0	1-18	o	1-20	o
1	1-19	trenta	_	_
2	1-20	mila	1-21	trentamila
0	1-21	ma	1-22	ma
0	1-22	tremila	1-23	tremila
1	1-23	che	_	_
1	1-24	facciamo	_	_
0	2-0	okay	2-0	okay
2	3-0	mh	3-0	mhmh
2	3-1	mh	4-0	mhmh
2	4-0	mh	5-0	che
2	4-1	mh	5-1	facciamo
0	5-0	ma	6-0	ma
1	5-1	{P}	_	_
0	5-2	non	6-1	non
0	5-3	si	6-2	si
0	5-4	trovano	6-3	trovano
0	5-5	adesso	6-4	adesso
0	5-6	neanche	6-5	neanche
1	5-7	là	_	_
2	5-8	il	6-6	online
2	5-9	l'	6-7	li
2	5-10	appartamento	6-8	appartamenti
0	6-0	eh	7-0	eh
0	6-1	esatto	7-1	esatto
0	6-2	te	7-2	te
0	6-3	lo	7-3	lo
1	6-4	era	_	_
0	6-5	{P}	7-4	{P}
1	_	_	7-5	era
0	6-6	questo	7-6	questo
0	6-7	che	7-7	che
0	6-8	volevo	7-8	volevo
0	6-9	chiederti	7-9	chiederti
0	7-0	perché	8-0	perché
2	8-0	eh	9-0	ah
0	8-1	sì	9-1	sì
0	9-0	se	10-0	se
0	9-1	tutti	10-1	tutti
0	9-2	vogliono	10-2	vogliono
0	9-3	vivere	10-3	vivere
0	9-4	lì	10-4	lì
0	10-0	sì	11-0	sì
0	10-1	{P}	11-1	{P}
0	10-2	non	11-2	non
0	10-3	si	11-3	si
0	10-4	trovano	11-4	trovano
0	10-5	appartamenti	11-5	appartamenti
1	_	_	11-6	a
2	10-6	{P}	11-7	dir
0	10-7	la	11-8	la
0	10-8	verità	11-9	verità
1	11-0	mh	_	_
1	11-1	mh	_	_
1	12-0	mh	_	_
2	12-1	mh	12-0	mhmh
0	13-0	piuttosto	13-0	piuttosto
0	13-1	che	13-1	che
0	13-2	ci	13-2	ci
0	13-3	sono	13-3	sono
0	13-4	un	13-4	un
0	13-5	sacco	13-5	sacco
0	13-6	di	13-6	di
0	13-7	gente	13-7	gente
0	14-0	come	14-0	come
0	14-1	non	14-1	non
0	14-2	vuole	14-2	vuole
0	14-3	dare	14-3	dare
1	14-4	{P}	_	_
0	14-5	appartamenti	14-4	appartamenti
0	14-6	per	14-5	per
0	14-7	la	14-6	la
0	14-8	famiglia	14-7	famiglia
1	15-0	un	_	_
2	15-1	po'	15-0	o
0	15-2	che	15-1	che
0	15-3	danno	15-2	danno
0	15-4	un	15-3	un
0	15-5	po'	15-4	po'
0	15-6	di	15-5	di
0	15-7	persone	15-6	persone
0	15-8	{P}	15-7	{P}
0	15-9	che	15-8	che
0	15-10	dopo	15-9	dopo
0	15-11	fanno	15-10	fanno
0	15-12	la	15-11	la
1	15-13	storia	_	_
1	16-0	mh	_	_
1	16-1	mh	_	_
2	17-0	mh	15-12	istoria
2	17-1	mh	16-0	mhmh
0	18-0	allora	17-0	allora
1	_	_	17-1	{P}
0	19-0	per	17-2	per
0	19-1	pochi	17-3	pochi
0	19-2	che	17-4	che
0	19-3	tutti	17-5	tutti
0	19-4	quanti	17-6	quanti
1	20-0	sì	_	_
1	20-1	sì	_	_
2	20-2	sì	18-0	sìsìsì
0	20-3	certo	18-1	certo
1	_	_	18-2	ho
0	20-4	capito	18-3	capito
2	20-5	{P}	19-0	mh
0	20-6	mh	20-0	mh
0	20-7	e	20-1	e
0	20-8	ma	20-2	ma
0	20-9	se	20-3	se
1	20-10	{P}	_	_
0	20-11	se	21-0	se
0	20-12	potessi	21-1	potessi
0	20-13	un	21-2	un
0	20-14	giorno	21-3	giorno
0	20-15	vorresti	21-4	vorresti
