match	id_A	token_A	id_B	token_B
0	1-0	persone	1-0	persone
0	1-1	che	1-1	che
0	1-2	magari	1-2	magari
2	1-3	prima	1-3	puoi
2	1-4	avevi	1-4	aver
0	1-5	incontrato	1-5	incontrato
0	1-6	un	1-6	un
0	1-7	po'	1-7	po'
1	2-0	mh	_	_
0	3-0	bah	2-0	bah
0	3-1	eh	2-1	eh
1	_	_	2-2	{P}
2	4-0	ci	2-3	sì
2	4-1	son-	2-4	cioè
0	4-2	è	2-5	è
0	4-3	sempre	2-6	sempre
0	4-4	pieno	2-7	pieno
0	4-5	di	2-8	di
0	4-6	persone	2-9	persone
0	4-7	che	2-10	che
0	4-8	fanno	2-11	fanno
2	4-9	elemosina	2-12	emosina
0	4-10	sotto	2-13	sotto
0	4-11	i	2-14	i
0	4-12	portici	2-15	portici
0	5-0	mhmh	3-0	mhmh
0	6-0	soprattutto	4-0	soprattutto
2	6-1	su	4-1	se
2	6-2	via	4-2	vieni
0	6-3	indipendenza	4-3	indipendenza
0	6-4	ce	4-4	ce
0	6-5	ne	4-5	ne
0	6-6	sono	4-6	sono
0	6-7	diversi	4-7	diversi
1	_	_	5-0	sì
1	_	_	5-1	è
2	7-0	seriamente	5-2	vero
0	8-0	anche	6-0	anche
0	8-1	sotto	6-1	sotto
0	8-2	i	6-2	i
0	8-3	portici	6-3	portici
0	8-4	di	6-4	di
0	8-5	via	6-5	via
1	_	_	6-6	{P}
2	9-0	in	6-7	di
0	9-1	viale	6-8	viale
1	_	_	6-9	{P}
0	10-0	mh	6-10	mh
0	10-1	masini	6-11	masini
0	11-0	perché	7-0	perché
0	11-1	io	7-1	io
0	11-2	passo	7-2	passo
0	11-3	spesso	7-3	spesso
0	11-4	di	7-4	di
0	11-5	lì	7-5	lì
2	12-0	eh	8-0	ehm
0	13-0	però	9-0	però
0	13-1	a	9-1	a
0	13-2	parte	9-2	parte
2	13-3	sono	9-3	insomma
0	13-4	persone	9-4	persone
1	13-5	{P}	_	_
0	13-6	che	9-5	che
0	13-7	fanno	9-6	fanno
0	13-8	l'	9-7	l'
0	13-9	elemosina	9-8	elemosina
2	13-10	sì	9-9	si
0	14-0	mhmh	10-0	mhmh
0	15-0	mh	11-0	mh
0	15-1	ah	11-1	ah
1	_	_	11-2	{P}
0	16-0	incontri	11-3	incontri
0	16-1	anche	11-4	anche
1	16-2	a	_	_
2	16-3	volte	11-5	molte
0	16-4	persone	11-6	persone
0	16-5	che	11-7	che
0	16-6	ti	11-8	ti
0	16-7	fermano	11-9	fermano
0	16-8	per	11-10	per
0	17-0	sì	12-0	sì
0	17-1	{ride}	12-1	{ride}
1	_	_	12-2	esatto
2	18-0	x	13-0	chiederti
0	18-1	di	13-1	di
0	18-2	fare	13-2	fare
1	18-3	beneficienza	_	_
1	18-4	{ride}	_	_
2	19-0	esatto	13-3	beneficenza
0	20-0	{ride}	13-4	{ride}
0	21-0	le	13-5	le
0	21-1	classiche	13-6	classiche
0	21-2	persone	13-7	persone
0	21-3	che	13-8	che
0	21-4	sono	13-9	sono
0	21-5	sotto	13-10	sotto
0	21-6	i	13-11	i
0	21-7	portici	13-12	portici
2	22-0	eh	14-0	ehm
0	23-0	a	15-0	a
0	23-1	volte	15-1	volte
0	23-2	{P}	15-2	{P}
0	23-3	persone	15-3	persone
0	23-4	famose	15-4	famose
0	23-5	ogni	15-5	ogni
0	23-6	tanto	15-6	tanto
0	23-7	una	15-7	una
0	23-8	volta	15-8	volta
1	23-9	ho	_	_
0	23-10	incontrato	15-9	incontrato
2	23-11	pif	15-10	piff
0	23-12	ad	15-11	ad
0	23-13	esempio	15-12	esempio
0	24-0	ah	16-0	ah
2	24-1	si	16-1	sì
2	24-2	si	16-2	sì
2	24-3	si	16-3	sì
0	25-0	eh	17-0	eh
2	25-1	si	17-1	so
0	25-2	che	17-2	che
0	25-3	era	17-3	era
1	_	_	17-4	in
0	25-4	un	17-5	un
0	25-5	hotel	17-6	hotel
0	25-6	che	17-7	che
0	25-7	è	17-8	è
0	25-8	lì	17-9	lì
0	25-9	su	17-10	su
0	25-10	via	17-11	via
0	25-11	indipendenza	17-12	indipendenza
0	26-0	anche	18-0	anche
0	26-1	cremonini	18-1	cremonini
0	26-2	dicono	18-2	dicono
0	26-3	che	18-3	che
2	26-4	sia	18-4	si
2	26-5	spetto	18-5	aspettano
0	27-0	eh	19-0	eh
0	27-1	non	19-1	non
1	27-2	l'	_	_
0	27-3	ho	19-2	ho
0	27-4	ancora	19-3	ancora
0	27-5	incontrato	19-4	incontrato
1	_	_	19-5	i
0	27-6	cremonini	19-6	cremonini
0	27-7	{ride}	19-7	{ride}
1	_	_	20-0	x
0	28-0	neanche	20-1	neanche
0	28-1	io	20-2	io
2	28-2	mai	20-3	x
0	29-0	però	21-0	però
1	29-1	ho	_	_
2	29-2	detto	21-1	x
0	29-3	sì	21-2	sì
0	29-4	tre	21-3	tre
0	29-5	anni	21-4	anni
0	29-6	perché	21-5	perché
0	29-7	io	21-6	io
1	29-8	ci	_	_
1	29-9	andavo	_	_
2	29-10	nel	21-7	sono
2	29-11	duemila	21-8	dal
2	29-12	diciotto	21-9	duemiladiciotto
0	29-13	diciannove	21-10	diciannove
0	29-14	sì	21-11	sì
0	29-15	tre	21-12	tre
0	29-16	anni	21-13	anni
0	29-17	che	21-14	che
0	29-18	sono	21-15	sono
0	29-19	lì	21-16	lì
0	29-20	non	21-17	non
0	29-21	ho	21-18	ho
0	29-22	ancora	21-19	ancora
1	29-23	x	_	_
2	29-24	quindi	21-20	incrociato
2	29-25	{ride}	21-21	cremonini
2	30-0	vabbé	22-0	beh
0	30-1	magari	22-1	magari
0	30-2	dai	22-2	dai
0	30-3	quest'	22-3	quest'
0	30-4	anno	22-4	anno
0	30-5	sarà	22-5	sarà
0	30-6	{ride}	22-6	{ride}
0	30-7	l'	22-7	l'
0	30-8	anno	22-8	anno
0	30-9	buono	22-9	buono
1	_	_	23-0	{ride}
2	31-0	ah	23-1	ma
0	31-1	sì	23-2	sì
1	31-2	chissà	_	_
2	32-0	allora	23-3	x
2	32-1	perfetto	23-4	infatti
0	33-0	e	24-0	e
0	33-1	anche	24-1	anche
2	33-2	mh	24-2	ehm
0	33-3	{P}	24-3	{P}
0	33-4	per	24-4	per
0	33-5	il	24-5	il
0	33-6	fatto	24-6	fatto
0	33-7	che	24-7	che
0	33-8	hanno	24-8	hanno
0	33-9	messo	24-9	messo
0	33-10	le	24-10	le
0	33-11	luci	24-11	luci
0	33-12	con	24-12	con
0	33-13	le	24-13	le
0	33-14	scritte	24-14	scritte
0	33-15	delle	24-15	delle
0	33-16	canzoni	24-16	canzoni
