match	id_A	token_A	id_B	token_B
0	1-0	per	1-0	per
0	1-1	quattro	1-1	quattro
1	_	_	2-0	no
2	2-0	non	2-1	n~
2	2-1	uno	2-2	un
2	2-2	chilo	2-3	kilo
0	2-3	settecento	2-4	settecento
0	2-4	grammi	2-5	grammi
0	2-5	di	2-6	di
0	2-6	pasta	2-7	pasta
2	3-0	e	3-0	eh
2	3-1	vabbé	3-1	vabbè
0	3-2	ma	3-2	ma
1	_	_	3-3	perché
0	3-3	quello	3-4	quello
1	3-4	è	_	_
0	3-5	il	3-5	il
0	3-6	padre	3-6	padre
1	_	_	3-7	se
1	_	_	3-8	ne
2	3-7	sai	3-9	mangia
2	3-8	mando	3-10	assai
2	3-9	sta	3-11	io
0	3-10	so	3-12	so
0	4-0	con	4-0	con
2	4-1	quell-	4-1	due
0	5-0	il	5-0	il
0	5-1	padre	5-1	padre
1	_	_	5-2	man~
2	5-2	man-	5-3	ne
0	5-3	mangia	5-4	mangia
0	5-4	ne	5-5	ne
0	5-5	mangia	5-6	mangia
0	5-6	una	5-7	una
0	5-7	scodella	5-8	scodella
2	5-8	di	5-9	da
0	5-9	insalata	5-10	insalata
2	6-0	ah	6-0	eh
0	7-0	con	7-0	con
0	7-1	due	7-1	due
0	7-2	vasetti	7-2	vasetti
0	7-3	del	8-0	del
0	7-4	pesto	8-1	pesto
0	7-5	quello	8-2	quello
0	7-6	là	8-3	là
0	7-7	barilla	8-4	barilla
1	8-0	vabbé	_	_
1	8-1	tanto	_	_
1	8-2	e	_	_
2	8-3	t-t-	9-0	vabbè
2	8-4	tutti	9-1	grazie
2	8-5	e	9-2	con
2	8-6	due	9-3	settecento
2	8-7	programmi	9-4	grammi
0	8-8	di	9-5	di
0	8-9	pasta	9-6	pasta
1	9-0	e	_	_
2	9-1	poi	10-0	rico~
2	10-0	ricotte	11-0	ricotta
0	10-1	e	11-1	e
2	10-2	noci'	11-2	noci
0	11-0	non	12-0	non
0	11-1	contenta	12-1	contenta
0	12-0	il	13-0	il
0	12-1	fior	13-1	fior
0	12-2	di	13-2	di
0	12-3	latte	13-3	latte
0	12-4	dentro	13-4	dentro
0	13-0	non	14-0	non
0	13-1	contenta	14-1	contenta
0	14-0	il	15-0	il
0	14-1	parmigiano	15-1	parmigiano
0	14-2	sopra	15-2	sopra
0	15-0	e	16-0	e
0	15-1	non	16-1	non
2	15-2	stono	16-2	stona
0	16-0	non	17-0	non
0	16-1	contenta	17-1	contenta
1	_	_	17-2	mi
1	_	_	17-3	ha
1	_	_	17-4	detto
2	16-2	per	17-5	eh
2	16-3	tutta	17-6	se
2	16-4	la	17-7	c'
2	16-5	sessione	17-8	avevo
2	16-6	uagliò	17-9	le
2	16-7	ci	17-10	noci
2	16-8	metto	17-11	mettevo
0	16-9	pure	17-12	pure
0	16-10	le	17-13	le
0	16-11	noci	17-14	noci
0	16-12	sopra	17-15	sopra
1	17-0	no	_	_
0	18-0	no	18-0	no
2	19-0	ti	19-0	marò
2	19-1	prego	20-0	esagerata
2	20-0	qua	21-0	ua
0	20-1	mi	21-1	mi
0	20-2	piacevano	21-2	piacevano
0	20-3	tanto	21-3	tanto
0	20-4	quelle	21-4	quelle
0	20-5	zucchine	21-5	zucchine
0	20-6	le	21-6	le
0	20-7	avete	21-7	avete
0	20-8	mangiate	21-8	mangiate
0	20-9	tutte	21-9	tutte
0	21-0	mh	22-0	mh
0	22-0	sorry	23-0	sorry
0	22-1	te	24-0	te
0	22-2	le	24-1	le
0	22-3	rifaccio	24-2	rifaccio
0	22-4	prima	24-3	prima
0	22-5	che	24-4	che
0	22-6	te	24-5	te
0	22-7	ne	24-6	ne
0	22-8	vai	24-7	vai
0	23-0	eh	25-0	eh
2	24-0	ma	26-0	prima
0	24-1	che	26-1	che
0	24-2	te	26-2	te
0	24-3	ne	26-3	ne
0	24-4	vai	26-4	vai
0	25-0	mh	27-0	mh
0	26-0	è	28-0	è
2	26-1	lei	28-1	lui
0	26-2	che	28-2	che
0	26-3	va	28-3	va
0	26-4	via	28-4	via
0	27-0	sai	29-0	sai
0	27-1	che	29-1	che
