tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	SP1	0.53	3.631	3.101	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	16	 mh: >negli ultimi anni secondo me è aum-< infatti il fatto che è aumentato il turismo	mh: >negli ultimi anni secondo me è aum-< infatti il fatto che è aumentato il turismo	mh negli ultimi anni secondo me è aum- infatti il fatto che è aumentato il turismo
1	SP1	3.97	5.98	2.01	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	 ha impattato molto anche [quello (con gli affitti)]	ha impattato molto anche [quello (con gli affitti)]	ha impattato molto anche quello con gli affitti
2	SP2	5.16	6.21	1.05	True	0	0	1	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 [e puo' es]sere	[e può es]sere	e può essere
3	SP2	6.42	7.329	0.909	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	 è vero è vero	è vero è vero	è vero è vero
4	SP1	7.409	13.459	6.05	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	13	 perché: insomma >qui< molte persone molti: prorietari, hanno messo le case su airbeb,	perché: insomma >qui< molte persone molti: prorietari, hanno messo le case su airbeb,	perché insomma qui molte persone molti prorietari hanno messo le case su airbeb
5	SP1	14.032	15.29	1.258	True	0	0	0	0	0	0	0	0	False	False	False	False	True	6=0.280	0	0	0	4	 per: per il turismo	per: per il turismo	per per il turismo
6	SP2	15.01	15.57	0.56	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 [mh mh]	[mh mh]	mh mh
7	SP1	16.219	18.65	2.431	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	 e tutte queste case sono state tolte dal mercato	e tutte queste case sono state tolte dal mercato	e tutte queste case sono state tolte dal mercato
8	SP1	18.98	20.24	1.26	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	 della gente che ci deve vivere >insomma<	della gente che ci deve vivere >insomma<	della gente che ci deve vivere insomma
9	SP2	20.246	21.246	1.0	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	4	 mh mh {P} è vero	mh mh {P} è vero	mh mh {P} è vero
10	SP1	21.5	24.986	3.486	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	13	 quindi >sicuramente< il turismo ha influito anche su questo: su questa cosa qua	quindi >sicuramente< il turismo ha influito anche su questo: su questa cosa qua	quindi sicuramente il turismo ha influito anche su questo su questa cosa qua
11	SP1	26.44	29.955	3.515	True	0	0	0	0	0	0	0	0	False	False	False	False	True	12=1.446,13=0.311	1	1	0	8	 però {P} capisco anche che vogliano [x incentivare il turismo {ride}]	però {P} capisco anche che vogliano [x incentivare il turismo {ride}]	però {P} capisco anche che vogliano x incentivare il turismo {ride}
12	SP2	28.111	29.557	1.446	True	0	0	0	0	0	0	0	0	False	False	False	False	True	11=1.446	0	0	0	4	 eh sì anche loro	eh sì anche loro	eh sì anche loro
13	SP2	29.644	30.386	0.742	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 [sì sì sì]	[sì sì sì]	sì sì sì
14	SP1	30.457	30.84	0.383	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 per[ò]	per[ò]	però
15	SP2	30.717	35.727	5.01	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	17	 [e] e invece per >il< quanto riguarda il lavoro pensi sia un buon posto in cui lavorare	[e] e invece per >il< quanto riguarda il lavoro pensi sia un buon posto in cui lavorare	e e invece per il quanto riguarda il lavoro pensi sia un buon posto in cui lavorare
16	SP2	36.171	39.249	3.078	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	 c(io)è s- secondo te si trova lavor[o:]?	c(io)è s- secondo te si trova lavor[o:]?	cioè s- secondo te si trova lavoro
17	SP1	38.582	41.917	3.335	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	 [ah] okay come: sì a bologna sicuramente:	[ah] okay come: sì a bologna sicuramente:	ah okay come sì a bologna sicuramente
18	SP1	42.012	46.667	4.655	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	7	 secondo me ha molte opportunità: lavorative {P} mh	secondo me ha molte opportunità: lavorative {P} mh	secondo me ha molte opportunità lavorative {P} mh
19	SP1	47.035	50.953	3.918	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	12	 rispetto a >mh< ad esempio forlì >e< supponiamo forlì come riferimento [però]	rispetto a >mh< ad esempio forlì >e< supponiamo forlì come riferimento [però]	rispetto a mh ad esempio forlì e supponiamo forlì come riferimento però
20	SP2	50.491	50.949	0.458	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 [mh mh]	[mh mh]	mh mh
21	SP1	51.894	55.211	3.317	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	 c'è sicuramente molta più offerta: lavorativa su bologna	c'è sicuramente molta più offerta: lavorativa su bologna	c' è sicuramente molta più offerta lavorativa su bologna
22	SP1	55.276	56.336	1.06	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 perché:	perché:	perché
23	SP1	57.503	59.126	1.623	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 un po' eh:m	un po' eh:m	un po' ehm
24	SP1	59.261	61.924	2.663	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	11	 ci sono molte industrie {P} poi dipende uno che cosa fa però	ci sono molte industrie {P} poi dipende uno che cosa fa però	ci sono molte industrie {P} poi dipende uno che cosa fa però
25	SP1	62.493	63.398	0.905	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 c'è:	c'è:	c' è
26	SP1	63.96	65.271	1.311	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	 c'è sia l'industria:	c'è sia l'industria:	c' è sia l' industria
27	SP1	65.373	70.05	4.677	True	0	0	0	0	0	0	0	0	False	False	False	False	True	28=1.000	0	0	0	15	 è la regione poi del: motor valley sai ci sono tutte le aziende: dei motori	è la regione poi del: motor valley sai ci sono tutte le aziende: dei motori	è la regione poi del motor valley sai ci sono tutte le aziende dei motori
28	SP2	68.743	69.743	1.0	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	 [mh mh sì sì sì]	[mh mh sì sì sì]	mh mh sì sì sì
29	SP1	70.423	72.989	2.566	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	 in quella zona lì poia nche più verso modena in realtà	in quella zona lì poia nche più verso modena in realtà	in quella zona lì poia nche più verso modena in realtà
30	SP1	73.092	73.483	0.391	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 però	però	però
31	SP1	74.609	81.671	7.062	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	20	 e:: >secondo me< c'è un po' di tutto comunque anche: a livello umanistico qualcosa si si trova a bologna	e:: >secondo me< c'è un po' di tutto comunque anche: a livello umanistico qualcosa si si trova a bologna	e secondo me c' è un po' di tutto comunque anche a livello umanistico qualcosa si si trova a bologna
32	SP1	82.876	86.463	3.587	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	 e: io poi ho trovato lavoro tramite un concorso quin[di:]	e: io poi ho trovato lavoro tramite un concorso quin[di:]	e io poi ho trovato lavoro tramite un concorso quindi
33	SP2	85.887	86.454	0.567	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 [ah okay]	[ah okay]	ah okay
34	SP2	86.596	86.911	0.315	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 mh mh	mh mh	mh mh
35	SP1	87.091	93.264	6.173	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	19	 mh: quello magari è diverso >però< anche nel pubblico >probabilmente< a bologna >ce ne sono< molti di più rispett[o:]	mh: quello magari è diverso >però< anche nel pubblico >probabilmente< a bologna >ce ne sono< molti di più rispett[o:]	mh quello magari è diverso però anche nel pubblico probabilmente a bologna ce ne sono molti di più rispetto
36	SP2	92.983	94.554	1.571	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 [ma]gari più post[i: x]	[ma]gari più post[i: x]	magari più posti x
37	SP1	94.182	96.107	1.925	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	 [sì] esatto poi l'università di bologna	[sì] esatto poi l'università di bologna	sì esatto poi l' università di bologna
38	SP1	96.84	97.803	0.963	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 °mh° ha:	°mh° ha:	mh ha
39	SP1	97.937	101.809	3.872	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	11	 c(io)è diciamo che: porta tanto lavoro in tanti mo[di {P} se]condo me	c(io)è diciamo che: porta tanto lavoro in tanti mo[di {P} se]condo me	cioè diciamo che porta tanto lavoro in tanti modi {P} secondo me
40	SP2	101.16	101.499	0.339	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 [mh mh]	[mh mh]	mh mh
41	SP1	103.582	108.667	5.085	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	14	 e: e quindi sì >c(io)è< sicuramente ci sono buone opportunità secodno me a bologna:	e: e quindi sì >c(io)è< sicuramente ci sono buone opportunità secodno me a bologna:	e e quindi sì cioè sicuramente ci sono buone opportunità secodno me a bologna
