match	id_A	token_A	id_B	token_B
0	1-0	persone	1-0	persone
0	1-1	che	1-1	che
0	1-2	magari	1-2	magari
2	1-3	puoi	1-3	prima
2	1-4	avere	1-4	avevi
0	1-5	incontrato	1-5	incontrato
0	1-6	un	1-6	un
0	1-7	po'	1-7	po'
1	_	_	2-0	mh
0	2-0	bah	3-0	bah
1	_	_	3-1	eh
2	2-1	e	4-0	ci
2	3-0	sì	4-1	son-
0	3-1	è	4-2	è
0	3-2	sempre	4-3	sempre
0	3-3	pieno	4-4	pieno
0	3-4	di	4-5	di
0	3-5	persone	4-6	persone
0	3-6	che	4-7	che
0	3-7	fanno	4-8	fanno
1	3-8	l'	_	_
0	3-9	elemosina	4-9	elemosina
0	3-10	sotto	4-10	sotto
0	3-11	i	4-11	i
0	3-12	portici	4-12	portici
0	4-0	mhmh	5-0	mhmh
0	5-0	soprattutto	6-0	soprattutto
0	5-1	su	6-1	su
0	5-2	via	6-2	via
0	5-3	indipendenza	6-3	indipendenza
0	5-4	ce	6-4	ce
0	5-5	ne	6-5	ne
0	5-6	sono	6-6	sono
0	5-7	diversi	6-7	diversi
1	6-0	sì	_	_
1	6-1	è	_	_
2	6-2	vero	7-0	seriamente
0	7-0	anche	8-0	anche
0	7-1	sotto	8-1	sotto
0	7-2	i	8-2	i
0	7-3	portici	8-3	portici
0	7-4	di	8-4	di
0	7-5	via	8-5	via
2	8-0	di	9-0	in
0	8-1	viale	9-1	viale
1	_	_	10-0	mh
0	9-0	masini	10-1	masini
0	10-0	perché	11-0	perché
0	10-1	io	11-1	io
0	10-2	passo	11-2	passo
0	10-3	spesso	11-3	spesso
0	10-4	di	11-4	di
0	10-5	lì	11-5	lì
2	11-0	e	12-0	eh
0	12-0	però	13-0	però
0	12-1	a	13-1	a
0	12-2	parte	13-2	parte
2	12-3	insomma	13-3	sono
0	12-4	persone	13-4	persone
1	_	_	13-5	{P}
0	12-5	che	13-6	che
0	12-6	fanno	13-7	fanno
0	12-7	l'	13-8	l'
0	12-8	elemosina	13-9	elemosina
1	_	_	13-10	sì
0	13-0	mhmh	14-0	mhmh
1	14-0	sì	_	_
0	15-0	mh	15-0	mh
2	15-1	a	15-1	ah
0	16-0	incontri	16-0	incontri
0	16-1	anche	16-1	anche
1	_	_	16-2	a
2	16-2	molte	16-3	volte
0	16-3	persone	16-4	persone
0	16-4	che	16-5	che
0	16-5	ti	16-6	ti
0	16-6	fermano	16-7	fermano
0	16-7	per	16-8	per
0	17-0	sì	17-0	sì
1	_	_	17-1	{ride}
2	18-0	chiederti	18-0	x
0	18-1	di	18-1	di
0	18-2	fare	18-2	fare
0	18-3	beneficienza	18-3	beneficienza
1	18-4	{ride}	_	_
0	19-0	{ride}	18-4	{ride}
0	19-1	esatto	19-0	esatto
0	20-0	{ride}	20-0	{ride}
0	20-1	le	21-0	le
0	20-2	classiche	21-1	classiche
0	20-3	persone	21-2	persone
0	20-4	che	21-3	che
0	20-5	sono	21-4	sono
0	20-6	sotto	21-5	sotto
0	20-7	i	21-6	i
0	20-8	portici	21-7	portici
2	21-0	e	22-0	eh
0	22-0	a	23-0	a
0	22-1	volte	23-1	volte
1	_	_	23-2	{P}
0	22-2	persone	23-3	persone
0	22-3	famose	23-4	famose
0	22-4	ogni	23-5	ogni
0	22-5	tanto	23-6	tanto
0	22-6	una	23-7	una
0	22-7	volta	23-8	volta
0	22-8	ho	23-9	ho
0	22-9	incontrato	23-10	incontrato
2	22-10	piff	23-11	pif
0	22-11	ad	23-12	ad
0	22-12	esempio	23-13	esempio
1	23-0	a	_	_
0	23-1	ah	24-0	ah
1	_	_	24-1	si
2	23-2	sì	24-2	si
2	23-3	sì	24-3	si
2	23-4	sì	25-0	eh
2	24-0	e	25-1	si
0	25-0	che	25-2	che
0	25-1	era	25-3	era
1	25-2	in	_	_
0	25-3	un	25-4	un
0	25-4	hotel	25-5	hotel
0	25-5	che	25-6	che
0	25-6	è	25-7	è
0	25-7	lì	25-8	lì
0	25-8	su	25-9	su
0	25-9	via	25-10	via
0	25-10	indipendenza	25-11	indipendenza
0	26-0	anche	26-0	anche
0	26-1	cremonini	26-1	cremonini
0	26-2	dicono	26-2	dicono
0	26-3	che	26-3	che
1	26-4	si	_	_
2	26-5	aspetta	26-4	sia
2	27-0	cremonini	26-5	spetto
0	27-1	eh	27-0	eh
0	27-2	non	27-1	non
0	27-3	l'	27-2	l'
0	27-4	ho	27-3	ho
0	27-5	ancora	27-4	ancora
0	27-6	incontrato	27-5	incontrato
0	27-7	cremonini	27-6	cremonini
1	28-0	poi	_	_
2	28-1	niente	27-7	{ride}
0	28-2	neanche	28-0	neanche
0	28-3	io	28-1	io
1	29-0	{ride}	_	_
2	29-1	e	28-2	mai
0	30-0	però	29-0	però
2	30-1	è	29-1	ho
2	30-2	che	29-2	detto
0	30-3	sì	29-3	sì
0	31-0	tre	29-4	tre
0	31-1	anni	29-5	anni
0	31-2	perché	29-6	perché
0	31-3	io	29-7	io
1	_	_	29-8	ci
2	31-4	sono	29-9	andavo
2	31-5	dal	29-10	nel
2	31-6	duemiladiciotto	29-11	duemila
2	32-0	sono	29-12	diciotto
2	32-1	dal	29-13	diciannove
0	32-2	sì	29-14	sì
0	32-3	tre	29-15	tre
0	32-4	anni	29-16	anni
0	32-5	che	29-17	che
0	32-6	sono	29-18	sono
0	32-7	lì	29-19	lì
0	32-8	non	29-20	non
0	32-9	ho	29-21	ho
1	_	_	29-22	ancora
1	_	_	29-23	x
2	32-10	ancoraincrociato	29-24	quindi
2	32-11	cremonini	29-25	{ride}
2	33-0	beh	30-0	vabbé
0	33-1	magari	30-1	magari
0	33-2	dai	30-2	dai
0	33-3	quest'	30-3	quest'
0	33-4	anno	30-4	anno
0	33-5	sarà	30-5	sarà
1	_	_	30-6	{ride}
0	33-6	l'	30-7	l'
0	33-7	anno	30-8	anno
0	33-8	buono	30-9	buono
1	_	_	31-0	ah
0	34-0	sì	31-1	sì
0	34-1	chissà	31-2	chissà
2	34-2	{ride}	32-0	allora
2	35-0	beh	32-1	perfetto
0	36-0	e	33-0	e
0	36-1	anche	33-1	anche
2	36-2	emh	33-2	mh
0	36-3	{P}	33-3	{P}
0	36-4	per	33-4	per
0	36-5	il	33-5	il
0	36-6	fatto	33-6	fatto
0	36-7	che	33-7	che
0	36-8	hanno	33-8	hanno
0	36-9	messo	33-9	messo
0	36-10	le	33-10	le
0	36-11	luci	33-11	luci
0	36-12	con	33-12	con
0	36-13	le	33-13	le
0	36-14	scritte	33-14	scritte
0	36-15	delle	33-15	delle
0	36-16	canzoni	33-16	canzoni
0	36-17	cosa	33-17	cosa
0	36-18	ne	33-18	ne
