match	id_A	token_A	id_B	token_B
0	1-0	persone	1-0	persone
0	1-1	che	1-1	che
0	1-2	magari	1-2	magari
0	1-3	puoi	1-3	puoi
2	1-4	avere	1-4	aver
0	1-5	incontrato	1-5	incontrato
0	1-6	un	1-6	un
0	1-7	po'	1-7	po'
0	2-0	bah	2-0	bah
1	_	_	2-1	eh
2	2-1	e	2-2	{P}
0	3-0	sì	2-3	sì
1	_	_	2-4	cioè
0	3-1	è	2-5	è
0	3-2	sempre	2-6	sempre
0	3-3	pieno	2-7	pieno
0	3-4	di	2-8	di
0	3-5	persone	2-9	persone
0	3-6	che	2-10	che
0	3-7	fanno	2-11	fanno
1	3-8	l'	_	_
2	3-9	elemosina	2-12	emosina
0	3-10	sotto	2-13	sotto
0	3-11	i	2-14	i
0	3-12	portici	2-15	portici
0	4-0	mhmh	3-0	mhmh
0	5-0	soprattutto	4-0	soprattutto
2	5-1	su	4-1	se
2	5-2	via	4-2	vieni
0	5-3	indipendenza	4-3	indipendenza
0	5-4	ce	4-4	ce
0	5-5	ne	4-5	ne
0	5-6	sono	4-6	sono
0	5-7	diversi	4-7	diversi
0	6-0	sì	5-0	sì
0	6-1	è	5-1	è
0	6-2	vero	5-2	vero
0	7-0	anche	6-0	anche
0	7-1	sotto	6-1	sotto
0	7-2	i	6-2	i
0	7-3	portici	6-3	portici
0	7-4	di	6-4	di
0	7-5	via	6-5	via
1	_	_	6-6	{P}
0	8-0	di	6-7	di
0	8-1	viale	6-8	viale
1	_	_	6-9	{P}
1	_	_	6-10	mh
0	9-0	masini	6-11	masini
0	10-0	perché	7-0	perché
0	10-1	io	7-1	io
0	10-2	passo	7-2	passo
0	10-3	spesso	7-3	spesso
0	10-4	di	7-4	di
0	10-5	lì	7-5	lì
2	11-0	e	8-0	ehm
0	12-0	però	9-0	però
0	12-1	a	9-1	a
0	12-2	parte	9-2	parte
0	12-3	insomma	9-3	insomma
0	12-4	persone	9-4	persone
0	12-5	che	9-5	che
0	12-6	fanno	9-6	fanno
0	12-7	l'	9-7	l'
0	12-8	elemosina	9-8	elemosina
1	_	_	9-9	si
0	13-0	mhmh	10-0	mhmh
1	14-0	sì	_	_
0	15-0	mh	11-0	mh
1	_	_	11-1	ah
2	15-1	a	11-2	{P}
0	16-0	incontri	11-3	incontri
0	16-1	anche	11-4	anche
0	16-2	molte	11-5	molte
0	16-3	persone	11-6	persone
0	16-4	che	11-7	che
0	16-5	ti	11-8	ti
0	16-6	fermano	11-9	fermano
0	16-7	per	11-10	per
0	17-0	sì	12-0	sì
1	_	_	12-1	{ride}
1	_	_	12-2	esatto
0	18-0	chiederti	13-0	chiederti
0	18-1	di	13-1	di
0	18-2	fare	13-2	fare
1	18-3	beneficienza	_	_
1	18-4	{ride}	_	_
1	19-0	{ride}	_	_
2	19-1	esatto	13-3	beneficenza
0	20-0	{ride}	13-4	{ride}
0	20-1	le	13-5	le
0	20-2	classiche	13-6	classiche
0	20-3	persone	13-7	persone
0	20-4	che	13-8	che
0	20-5	sono	13-9	sono
0	20-6	sotto	13-10	sotto
0	20-7	i	13-11	i
0	20-8	portici	13-12	portici
2	21-0	e	14-0	ehm
0	22-0	a	15-0	a
0	22-1	volte	15-1	volte
1	_	_	15-2	{P}
0	22-2	persone	15-3	persone
0	22-3	famose	15-4	famose
0	22-4	ogni	15-5	ogni
0	22-5	tanto	15-6	tanto
0	22-6	una	15-7	una
0	22-7	volta	15-8	volta
1	22-8	ho	_	_
0	22-9	incontrato	15-9	incontrato
0	22-10	piff	15-10	piff
0	22-11	ad	15-11	ad
0	22-12	esempio	15-12	esempio
1	23-0	a	_	_
0	23-1	ah	16-0	ah
0	23-2	sì	16-1	sì
0	23-3	sì	16-2	sì
0	23-4	sì	16-3	sì
1	_	_	17-0	eh
2	24-0	e	17-1	so
0	25-0	che	17-2	che
0	25-1	era	17-3	era
0	25-2	in	17-4	in
0	25-3	un	17-5	un
0	25-4	hotel	17-6	hotel
0	25-5	che	17-7	che
0	25-6	è	17-8	è
0	25-7	lì	17-9	lì
0	25-8	su	17-10	su
0	25-9	via	17-11	via
0	25-10	indipendenza	17-12	indipendenza
0	26-0	anche	18-0	anche
0	26-1	cremonini	18-1	cremonini
0	26-2	dicono	18-2	dicono
0	26-3	che	18-3	che
0	26-4	si	18-4	si
1	26-5	aspetta	_	_
2	27-0	cremonini	18-5	aspettano
0	27-1	eh	19-0	eh
0	27-2	non	19-1	non
1	27-3	l'	_	_
0	27-4	ho	19-2	ho
0	27-5	ancora	19-3	ancora
0	27-6	incontrato	19-4	incontrato
1	_	_	19-5	i
0	27-7	cremonini	19-6	cremonini
2	28-0	poi	19-7	{ride}
2	28-1	niente	20-0	x
0	28-2	neanche	20-1	neanche
0	28-3	io	20-2	io
1	29-0	{ride}	_	_
2	29-1	e	20-3	x
0	30-0	però	21-0	però
1	30-1	è	_	_
2	30-2	che	21-1	x
0	30-3	sì	21-2	sì
0	31-0	tre	21-3	tre
0	31-1	anni	21-4	anni
0	31-2	perché	21-5	perché
0	31-3	io	21-6	io
0	31-4	sono	21-7	sono
0	31-5	dal	21-8	dal
0	31-6	duemiladiciotto	21-9	duemiladiciotto
1	32-0	sono	_	_
2	32-1	dal	21-10	diciannove
0	32-2	sì	21-11	sì
0	32-3	tre	21-12	tre
0	32-4	anni	21-13	anni
0	32-5	che	21-14	che
0	32-6	sono	21-15	sono
0	32-7	lì	21-16	lì
0	32-8	non	21-17	non
0	32-9	ho	21-18	ho
1	_	_	21-19	ancora
2	32-10	ancoraincrociato	21-20	incrociato
0	32-11	cremonini	21-21	cremonini
0	33-0	beh	22-0	beh
0	33-1	magari	22-1	magari
0	33-2	dai	22-2	dai
0	33-3	quest'	22-3	quest'
0	33-4	anno	22-4	anno
0	33-5	sarà	22-5	sarà
1	_	_	22-6	{ride}
0	33-6	l'	22-7	l'
0	33-7	anno	22-8	anno
0	33-8	buono	22-9	buono
1	_	_	23-0	{ride}
1	_	_	23-1	ma
0	34-0	sì	23-2	sì
1	34-1	chissà	_	_
2	34-2	{ride}	23-3	x
2	35-0	beh	23-4	infatti
0	36-0	e	24-0	e
0	36-1	anche	24-1	anche
2	36-2	emh	24-2	ehm
0	36-3	{P}	24-3	{P}
0	36-4	per	24-4	per
0	36-5	il	24-5	il
0	36-6	fatto	24-6	fatto
0	36-7	che	24-7	che
0	36-8	hanno	24-8	hanno
0	36-9	messo	24-9	messo
0	36-10	le	24-10	le
0	36-11	luci	24-11	luci
0	36-12	con	24-12	con
0	36-13	le	24-13	le
0	36-14	scritte	24-14	scritte
0	36-15	delle	24-15	delle
0	36-16	canzoni	24-16	canzoni
0	36-17	cosa	24-17	cosa
