match	id_A	token_A	id_B	token_B
1	1-0	e	_	_
0	1-1	come	1-0	come
1	_	_	1-1	tabacco
2	1-2	xxxx	1-2	no
2	2-0	okay	1-3	eh
2	3-0	e	1-4	di
0	3-1	là	1-5	là
0	3-2	{P}	1-6	{P}
0	3-3	lavorando	1-7	lavorando
0	3-4	più	1-8	più
0	3-5	di	1-9	di
0	3-6	tre	1-10	tre
0	3-7	tremila	1-11	tremila
0	3-8	persone	1-12	persone
1	4-0	mh	_	_
0	5-0	non	1-13	non
0	5-1	sono	1-14	sono
0	5-2	esattamente	1-15	esattamente
0	5-3	o	1-16	o
0	5-4	tremila	1-17	tremila
0	5-5	o	1-18	o
1	_	_	1-19	trenta
2	5-6	trentamila	1-20	mila
0	5-7	ma	1-21	ma
0	5-8	tremila	1-22	tremila
0	5-9	che	1-23	che
0	5-10	facciamo	1-24	facciamo
1	_	_	2-0	okay
1	_	_	3-0	mh
1	_	_	3-1	mh
1	_	_	4-0	mh
2	6-0	mhmh	4-1	mh
0	7-0	ma	5-0	ma
1	_	_	5-1	{P}
0	7-1	non	5-2	non
0	7-2	si	5-3	si
0	7-3	trovano	5-4	trovano
0	7-4	adesso	5-5	adesso
0	7-5	neanche	5-6	neanche
0	7-6	là	5-7	là
1	_	_	5-8	il
2	7-7	gli	5-9	l'
2	7-8	appartamenti	5-10	appartamento
0	8-0	eh	6-0	eh
0	8-1	esatto	6-1	esatto
0	8-2	te	6-2	te
0	8-3	lo	6-3	lo
0	8-4	era	6-4	era
0	8-5	{P}	6-5	{P}
0	8-6	questo	6-6	questo
0	8-7	che	6-7	che
0	8-8	volevo	6-8	volevo
0	8-9	chiederti	6-9	chiederti
0	9-0	perché	7-0	perché
2	10-0	ah	8-0	eh
0	10-1	sì	8-1	sì
0	11-0	se	9-0	se
0	11-1	tutti	9-1	tutti
0	11-2	vogliono	9-2	vogliono
0	11-3	vivere	9-3	vivere
0	11-4	lì	9-4	lì
0	12-0	sì	10-0	sì
1	_	_	10-1	{P}
0	12-1	non	10-2	non
0	12-2	si	10-3	si
0	12-3	trovano	10-4	trovano
0	12-4	appartamenti	10-5	appartamenti
1	_	_	10-6	{P}
0	13-0	la	10-7	la
0	13-1	verità	10-8	verità
1	_	_	11-0	mh
1	_	_	11-1	mh
1	_	_	12-0	mh
2	14-0	mhmh	12-1	mh
0	15-0	piuttosto	13-0	piuttosto
0	15-1	che	13-1	che
1	15-2	{P}	_	_
0	15-3	ci	13-2	ci
0	15-4	sono	13-3	sono
0	15-5	un	13-4	un
0	15-6	sacco	13-5	sacco
0	15-7	di	13-6	di
2	15-8	aziende	13-7	gente
0	16-0	come	14-0	come
0	16-1	non	14-1	non
0	16-2	vuole	14-2	vuole
0	16-3	dare	14-3	dare
1	_	_	14-4	{P}
0	16-4	appartamenti	14-5	appartamenti
0	16-5	per	14-6	per
0	16-6	la	14-7	la
0	16-7	famiglia	14-8	famiglia
0	17-0	un	15-0	un
0	17-1	po'	15-1	po'
0	17-2	che	15-2	che
0	17-3	danno	15-3	danno
0	17-4	un	15-4	un
0	17-5	po'	15-5	po'
0	17-6	di	15-6	di
0	17-7	persone	15-7	persone
2	18-0	mhmh	15-8	{P}
0	19-0	che	15-9	che
0	19-1	dopo	15-10	dopo
0	19-2	fanno	15-11	fanno
0	19-3	la	15-12	la
0	19-4	storia	15-13	storia
1	_	_	16-0	mh
1	_	_	16-1	mh
1	_	_	17-0	mh
1	_	_	17-1	mh
2	20-0	ora	18-0	allora
0	21-0	per	19-0	per
0	21-1	pochi	19-1	pochi
0	21-2	che	19-2	che
0	21-3	tutti	19-3	tutti
0	21-4	quanti	19-4	quanti
1	22-0	{sospira}	_	_
0	23-0	sì	20-0	sì
0	23-1	sì	20-1	sì
0	23-2	sì	20-2	sì
0	23-3	certo	20-3	certo
0	23-4	capito	20-4	capito
2	24-0	mh	20-5	{P}
0	25-0	mh	20-6	mh
0	25-1	e	20-7	e
0	25-2	ma	20-8	ma
0	25-3	se	20-9	se
1	_	_	20-10	{P}
0	25-4	se	20-11	se
0	25-5	potessi	20-12	potessi
0	25-6	un	20-13	un
0	25-7	giorno	20-14	giorno
0	25-8	vorresti	20-15	vorresti
0	25-9	vivere	20-16	vivere
0	25-10	in	20-17	in
0	25-11	città	20-18	città
0	25-12	o	20-19	o
0	26-0	assolutamente	21-0	assolutamente
0	26-1	io	21-1	io
1	_	_	21-2	e
0	26-2	sto	21-3	sto
0	26-3	provando	21-4	provando
0	26-4	tutti	21-5	tutti
0	26-5	i	21-6	i
0	26-6	giorni	21-7	giorni
0	26-7	a	21-8	a
0	26-8	trovare	21-9	trovare
0	26-9	c'	21-10	c'
0	26-10	è	21-11	è
0	26-11	un	21-12	un
0	26-12	appartamento	21-13	appartamento
0	26-13	per	21-14	per
0	26-14	i	21-15	i
0	27-0	trasferire	21-16	trasferire
0	27-1	in	21-17	in
0	27-2	bologna	21-18	bologna
0	27-3	cioè	21-19	cioè
1	_	_	22-0	okay
1	_	_	23-0	mh
1	_	_	23-1	mh
0	27-4	io	24-0	io
0	27-5	lavoro	24-1	lavoro
0	27-6	qui	24-2	qui
1	28-0	mhmh	_	_
0	29-0	è	25-0	è
1	_	_	25-1	un
2	29-1	inutile	25-2	utile
0	29-2	che	25-3	che
0	29-3	io	25-4	io
0	29-4	vado	25-5	vado
1	_	_	25-6	{P}
0	29-5	a	25-7	a
0	30-0	esempio	26-0	esempio
0	30-1	faccio	26-1	faccio
0	30-2	così	26-2	così
0	30-3	una	26-3	una
0	30-4	una	26-4	una
0	30-5	una	26-5	una
0	30-6	ragionamento	26-6	ragionamento
0	31-0	se	26-7	se
1	_	_	26-8	{P}
0	31-1	lo	26-9	lo
0	31-2	trovo	26-10	trovo
1	31-3	{P}	_	_
0	31-4	una	26-11	una
0	31-5	casa	26-12	casa
0	31-6	in	26-13	in
0	31-7	bologna	26-14	bologna
0	32-0	che	27-0	che
0	32-1	{P}	27-1	{P}
0	32-2	mille	27-2	mille
0	32-3	euro	27-3	euro
0	32-4	{P}	27-4	{P}
0	32-5	facciamo	27-5	facciamo
1	33-0	mhmh	_	_
0	34-0	perché	27-6	perché
0	34-1	una	27-7	una
0	34-2	casa	27-8	casa
0	34-3	deve	27-9	deve
0	34-4	essere	27-10	essere
0	34-5	mille	27-11	mille
0	34-6	euro	27-12	euro
1	_	_	28-0	mh
1	_	_	28-1	mh
0	34-7	e	29-0	e
1	_	_	29-1	{P}
0	35-0	non	29-2	non
0	35-1	è	29-3	è
0	35-2	che	29-4	che
0	35-3	deve	29-5	deve
0	35-4	essere	29-6	essere
0	35-5	soltanto	29-7	soltanto
0	35-6	una	29-8	una
0	35-7	camera	29-9	camera
1	_	_	29-10	un
2	35-8	u-	29-11	mon-
0	35-9	un	29-12	un
0	35-10	monolocale	29-13	monolocale
0	35-11	che	29-14	che
1	_	_	29-15	è
0	35-12	mille	29-16	mille
0	35-13	euro	29-17	euro
0	35-14	no	29-18	no
0	36-0	è	30-0	è
0	36-1	troppo	30-1	troppo
0	37-0	è	31-0	è
0	37-1	troppo	31-1	troppo
0	37-2	sì	31-2	sì
0	38-0	deve	32-0	deve
0	38-1	essere	32-1	essere
0	38-2	almeno	32-2	almeno
0	38-3	tre	32-3	tre
2	38-4	camere	32-4	camera
0	38-5	di	32-5	di
0	38-6	letto	32-6	letto
0	38-7	per	32-7	per
0	38-8	per	32-8	per
0	38-9	mille	32-9	mille
0	38-10	euro	32-10	euro
1	_	_	32-11	mille
1	_	_	32-12	due
2	38-11	milledue	32-13	mille
2	38-12	millecento	32-14	cento
0	38-13	facciamo	32-15	facciamo
0	38-14	così	32-16	così
0	39-0	sì	33-0	sì
0	39-1	sì	33-1	sì
0	39-2	sì	33-2	sì
1	_	_	34-0	mh
2	40-0	mhmh	34-1	mh
0	41-0	se	35-0	se
0	41-1	vado	35-1	vado
0	41-2	a	35-2	a
0	41-3	valsamoggia	35-3	valsamoggia
1	42-0	con	_	_
2	42-1	i	36-0	ogni
2	42-2	x	36-1	mese
0	42-3	io	36-2	io
1	_	_	36-3	e
0	42-4	spendo	36-4	spendo
0	42-5	c-	36-5	c-
0	42-6	più	36-6	più
0	42-7	di	36-7	di
0	42-8	duecento	36-8	duecento
0	42-9	euro	36-9	euro
0	42-10	di	36-10	di
0	42-11	benzina	36-11	benzina
0	43-0	sì	37-0	sì
0	43-1	sì	37-1	sì
0	43-2	{P}	37-2	{P}
0	43-3	e	37-3	e
0	43-4	il	37-4	il
0	43-5	parcheggio	37-5	parcheggio
0	44-0	e	38-0	e
0	44-1	parcheggio	38-1	parcheggio
0	44-2	più	38-2	più
2	44-3	{P}	39-0	sì
0	44-4	facciamo	40-0	facciamo
0	44-5	trecentocinquanta	40-1	trecentocinquanta
0	44-6	euro	40-2	euro
0	44-7	di	40-3	di
0	44-8	ogni	40-4	ogni
0	44-9	mese	40-5	mese
0	45-0	sì	41-0	sì
0	46-0	sì	41-1	sì
2	46-1	sì	41-2	diventa
2	46-2	tantissimo	41-3	altiss-
0	47-0	tantissimo	42-0	tantissimo
0	48-0	tantissimo	43-0	tantissimo
1	49-0	{ride}	_	_
0	50-0	sì	44-0	sì
0	50-1	sì	44-1	sì
0	51-0	no	45-0	no
0	51-1	io	45-1	io
0	51-2	non	45-2	non
0	51-3	ho	45-3	ho
0	51-4	la	45-4	la
0	51-5	macchina	45-5	macchina
0	51-6	quindi	45-6	quindi
0	51-7	non	45-7	non
0	51-8	mi	45-8	mi
0	51-9	rendo	45-9	rendo
0	51-10	conto	45-10	conto
0	51-11	sento	45-11	sento
0	51-12	queste	45-12	queste
0	51-13	cifre	45-13	cifre
0	51-14	{ride}	45-14	{ride}
0	52-0	no	46-0	no
0	52-1	intendevo	46-1	intendevo
1	52-2	{P}	_	_
0	52-3	intendevo	46-2	intendevo
1	52-4	{P}	_	_
0	52-5	che	46-3	che
0	52-6	se	46-4	se
0	52-7	là	46-5	là
0	52-8	pago	46-6	pago
0	52-9	settecento	46-7	settecento
0	52-10	euro	46-8	euro
0	52-11	in	46-9	in
0	52-12	affitto	46-10	affitto
0	53-0	più	47-0	più
0	53-1	{P}	47-1	{P}
0	53-2	trecentocinquanta	47-2	trecentocinquanta
0	53-3	sono	47-3	sono
0	53-4	mille	47-4	mille
1	_	_	48-0	mh
2	54-0	mhmh	49-0	mh
2	55-0	mhmh	49-1	mh
0	56-0	già	50-0	già
0	56-1	{P}	50-1	{P}
1	_	_	50-2	mille
1	_	_	50-3	mil-
1	_	_	50-4	mille
1	_	_	50-5	cento
0	56-2	mille	50-6	mille
2	56-3	eh.m	50-7	due
2	56-4	mill-	50-8	mille
2	56-5	millecento	50-9	cento
2	56-6	milleduemilacento	50-10	mil-
2	56-7	m	50-11	mille
2	56-8	milleduecento	50-12	duecento
0	56-9	dopo	50-13	dopo
0	56-10	perché	50-14	perché
0	56-11	non	50-15	non
0	56-12	è	50-16	è
0	56-13	che	50-17	che
1	_	_	50-18	è
0	56-14	solo	50-19	solo
1	_	_	50-20	che
0	56-15	devo	50-21	devo
0	56-16	pagare	50-22	pagare
0	56-17	la	50-23	la
0	56-18	macchina	50-24	macchina
1	57-0	sì	_	_
1	57-1	sì	_	_
1	57-2	sì	_	_
2	58-0	mhmh	50-25	{P}
0	59-0	la	50-26	la
0	59-1	benzina	50-27	benzina
0	59-2	e	50-28	e
2	59-3	eh	50-29	{P}
0	60-0	e	50-30	e
0	60-1	anche	50-31	anche
0	60-2	il	50-32	il
0	60-3	parcheggio	50-33	parcheggio
0	60-4	no	50-34	no
0	60-5	devo	50-35	devo
1	_	_	50-36	fa-
1	_	_	50-37	as-
1	_	_	51-0	sì
1	_	_	51-1	sì
1	_	_	51-2	sì
1	_	_	52-0	mh
1	_	_	52-1	mh
2	60-6	pa-	53-0	mh
2	60-7	x	53-1	mh
0	61-0	sì	54-0	sì
0	61-1	sì	54-1	sì
0	61-2	sì	54-2	sì
0	62-0	sì	55-0	sì
0	62-1	sì	55-1	sì
0	62-2	sì	55-2	sì
0	63-0	allora	56-0	allora
0	63-1	come	56-1	come
0	63-2	la	56-2	la
0	63-3	città	56-3	città
0	63-4	{P}	56-4	{P}
0	63-5	se	56-5	se
0	63-6	tu	56-6	tu
0	63-7	paghi	56-7	paghi
0	63-8	duecento	56-8	duecento
2	63-9	euro	56-9	eu-
0	63-10	cioè	56-10	cioè
0	63-11	duecento	56-11	duecento
0	63-12	euro	56-12	euro
0	63-13	in	56-13	in
2	63-14	più	56-14	piú
2	64-0	mhmh	56-15	{P}
0	65-0	ma	56-16	ma
0	65-1	ti	56-17	ti
