match	id_A	token_A	id_B	token_B
0	1-0	per	1-0	per
0	1-1	quattro	1-1	quattro
0	2-0	non	2-0	non
2	2-1	uno	2-1	un
0	2-2	chilo	2-2	chilo
0	2-3	settecento	2-3	settecento
0	2-4	grammi	2-4	grammi
0	2-5	di	2-5	di
0	2-6	pasta	2-6	pasta
0	3-0	e	3-0	e
2	3-1	vabbé	3-1	vabbè
0	3-2	ma	3-2	ma
1	_	_	3-3	perché
0	3-3	quello	3-4	quello
1	3-4	è	_	_
0	3-5	il	3-5	il
1	_	_	3-6	pane
1	_	_	3-7	se
2	3-6	padre	3-8	ne
2	3-7	sai	3-9	mangia
2	3-8	mando	3-10	assai
2	3-9	sta	3-11	io
0	3-10	so	3-12	so
0	4-0	con	4-0	con
2	4-1	quell-	4-1	due
0	5-0	il	5-0	il
0	5-1	padre	5-1	padre
2	5-2	man-	5-2	van-
0	5-3	mangia	5-3	mangia
0	5-4	ne	5-4	ne
0	5-5	mangia	5-5	mangia
0	5-6	una	5-6	una
0	5-7	scodella	5-7	scodella
2	5-8	di	5-8	d'
0	5-9	insalata	5-9	insalata
0	6-0	ah	6-0	ah
0	7-0	con	7-0	con
0	7-1	due	7-1	due
0	7-2	vasetti	7-2	vasetti
0	7-3	del	7-3	del
0	7-4	pesto	7-4	pesto
0	7-5	quello	7-5	quello
0	7-6	là	7-6	là
0	7-7	barilla	7-7	barilla
1	8-0	vabbé	_	_
1	8-1	tanto	_	_
1	8-2	e	_	_
2	8-3	t-t-	8-0	vabbè
2	8-4	tutti	8-1	grazie
2	8-5	e	8-2	so
2	8-6	due	8-3	settecento
2	8-7	programmi	8-4	grammi
0	8-8	di	8-5	di
0	8-9	pasta	8-6	pasta
2	9-0	e	9-0	un
2	9-1	poi	9-1	po'
2	10-0	ricotte	10-0	ricotta
0	10-1	e	10-1	e
2	10-2	noci'	10-2	noci
0	11-0	non	10-3	non
0	11-1	contenta	10-4	contenta
0	12-0	il	10-5	il
0	12-1	fior	10-6	fior
0	12-2	di	10-7	di
0	12-3	latte	10-8	latte
0	12-4	dentro	10-9	dentro
0	13-0	non	10-10	non
0	13-1	contenta	10-11	contenta
0	14-0	il	10-12	il
0	14-1	parmigiano	10-13	parmigiano
0	14-2	sopra	10-14	sopra
2	15-0	e	11-0	che
0	15-1	non	11-1	non
2	15-2	stono	11-2	stona
0	16-0	non	12-0	non
0	16-1	contenta	12-1	contenta
1	_	_	12-2	mi
1	_	_	12-3	hai
1	_	_	12-4	detto
2	16-2	per	12-5	ah
2	16-3	tutta	12-6	se
2	16-4	la	12-7	c'
2	16-5	sessione	12-8	avevo
2	16-6	uagliò	12-9	le
2	16-7	ci	12-10	noci
2	16-8	metto	12-11	mettevo
0	16-9	pure	12-12	pure
0	16-10	le	12-13	le
0	16-11	noci	12-14	noci
0	16-12	sopra	12-15	sopra
0	17-0	no	13-0	no
0	18-0	no	14-0	no
1	19-0	ti	_	_
2	19-1	prego	15-0	x
2	20-0	qua	16-0	guà
0	20-1	mi	16-1	mi
0	20-2	piacevano	16-2	piacevano
0	20-3	tanto	16-3	tanto
0	20-4	quelle	16-4	quelle
0	20-5	zucchine	16-5	zucchine
0	20-6	le	16-6	le
0	20-7	avete	16-7	avete
0	20-8	mangiate	16-8	mangiate
0	20-9	tutte	16-9	tutte
1	21-0	mh	_	_
0	22-0	sorry	17-0	sorry
0	22-1	te	18-0	te
0	22-2	le	18-1	le
0	22-3	rifaccio	18-2	rifaccio
0	22-4	prima	18-3	prima
0	22-5	che	18-4	che
0	22-6	te	18-5	te
0	22-7	ne	18-6	ne
0	22-8	vai	18-7	vai
0	23-0	eh	19-0	eh
0	24-0	ma	20-0	ma
0	24-1	che	20-1	che
0	24-2	te	20-2	te
0	24-3	ne	20-3	ne
0	24-4	vai	20-4	vai
0	25-0	mh	21-0	mh
1	_	_	22-0	dov'
0	26-0	è	22-1	è
1	26-1	lei	_	_
0	26-2	che	22-2	che
0	26-3	va	22-3	va
0	26-4	via	22-4	via
0	27-0	sai	23-0	sai
0	27-1	che	23-1	che
0	27-2	possiamo	23-2	possiamo
