match	id_A	token_A	id_B	token_B
0	0-0	persone	0-0	persone
0	0-1	che	0-1	che
0	0-2	magari	0-2	magari
2	0-3	prima	0-3	puoi
2	0-4	avevi	0-4	avere
0	0-5	incontrato	0-5	incontrato
0	0-6	un	0-6	un
0	0-7	po'	0-7	po'
0	1-0	mh	1-0	mh
0	2-0	bah	2-0	bah
0	2-1	eh	2-1	eh
2	3-0	ci	3-0	si
2	3-1	son-	3-1	cioè
0	3-2	è	3-2	è
0	3-3	sempre	3-3	sempre
0	3-4	pieno	3-4	pieno
1	3-5	di	_	_
2	3-6	persone	3-5	dipersone
0	3-7	che	3-6	che
0	3-8	fanno	3-7	fanno
1	_	_	3-8	l'
0	3-9	elemosina	3-9	elemosina
0	3-10	sotto	3-10	sotto
0	3-11	i	3-11	i
0	3-12	portici	3-12	portici
0	4-0	mhmh	4-0	mhmh
0	5-0	soprattutto	5-0	soprattutto
0	5-1	su	5-1	su
0	5-2	via	5-2	via
0	5-3	indipendenza	5-3	indipendenza
0	5-4	ce	5-4	ce
0	5-5	ne	5-5	ne
0	5-6	sono	5-6	sono
0	5-7	diversi	5-7	diversi
1	_	_	6-0	sì
1	_	_	6-1	è
2	6-0	seriamente	6-2	vero
0	7-0	anche	7-0	anche
0	7-1	sotto	7-1	sotto
0	7-2	i	7-2	i
0	7-3	portici	7-3	portici
0	7-4	di	7-4	di
0	7-5	via	7-5	via
2	8-0	in	8-0	di
0	8-1	viale	8-1	viale
0	9-0	mh	9-0	mh
0	9-1	masini	9-1	masini
0	10-0	perché	10-0	perché
0	10-1	io	10-1	io
0	10-2	passo	10-2	passo
0	10-3	spesso	10-3	spesso
0	10-4	di	10-4	di
0	10-5	lì	10-5	lì
0	11-0	eh	11-0	eh
0	12-0	però	12-0	però
1	12-1	a	_	_
2	12-2	parte	12-1	apparte
2	12-3	sono	12-2	insomma
0	12-4	persone	12-3	persone
1	12-5	{P}	_	_
0	12-6	che	12-4	che
0	12-7	fanno	12-5	fanno
0	12-8	l'	12-6	l'
0	12-9	elemosina	12-7	elemosina
0	12-10	sì	12-8	sì
1	13-0	mhmh	_	_
0	14-0	mh	12-9	mh
0	14-1	ah	12-10	ah
0	15-0	incontri	12-11	incontri
0	15-1	anche	12-12	anche
1	15-2	a	_	_
2	15-3	volte	12-13	molte
0	15-4	persone	12-14	persone
0	15-5	che	12-15	che
0	15-6	ti	12-16	ti
0	15-7	fermano	12-17	fermano
0	15-8	per	12-18	per
1	_	_	13-0	mhmh
0	16-0	sì	14-0	sì
2	16-1	{ride}	15-0	per
2	17-0	x	15-1	chiederti
0	17-1	di	15-2	di
0	17-2	fare	15-3	fare
0	17-3	beneficienza	15-4	beneficienza
1	17-4	{ride}	_	_
1	18-0	esatto	_	_
0	19-0	{ride}	15-5	{ride}
0	20-0	le	15-6	le
0	20-1	classiche	15-7	classiche
0	20-2	persone	15-8	persone
0	20-3	che	15-9	che
0	20-4	sono	15-10	sono
0	20-5	sotto	15-11	sotto
2	20-6	i	15-12	ai
0	20-7	portici	15-13	portici
1	_	_	16-0	{ride}
1	_	_	16-1	esatto
0	21-0	eh	17-0	eh
1	_	_	17-1	mh
0	22-0	a	17-2	a
0	22-1	volte	17-3	volte
1	22-2	{P}	_	_
0	22-3	persone	17-4	persone
0	22-4	famose	17-5	famose
0	22-5	ogni	17-6	ogni
0	22-6	tanto	17-7	tanto
0	22-7	una	17-8	una
0	22-8	volta	17-9	volta
0	22-9	ho	17-10	ho
0	22-10	incontrato	17-11	incontrato
2	22-11	pif	17-12	piff
0	22-12	ad	17-13	ad
0	22-13	esempio	17-14	esempio
0	23-0	ah	18-0	ah
2	23-1	si	18-1	ah
2	23-2	si	18-2	ah
2	23-3	si	18-3	sìsìsì
0	24-0	eh	19-0	eh
1	24-1	si	_	_
1	24-2	che	_	_
2	24-3	era	19-1	x
0	24-4	un	19-2	un
0	24-5	hotel	19-3	hotel
0	24-6	che	19-4	che
0	24-7	è	19-5	è
0	24-8	lì	19-6	lì
0	24-9	su	19-7	su
0	24-10	via	19-8	via
0	24-11	indipendenza	19-9	indipendenza
0	25-0	anche	20-0	anche
0	25-1	cremonini	20-1	cremonini
0	25-2	dicono	20-2	dicono
0	25-3	che	20-3	che
1	_	_	20-4	si
1	_	_	20-5	aspetti
1	_	_	20-6	x
1	_	_	20-7	neanche
1	_	_	20-8	io
2	25-4	sia	20-9	mai
2	25-5	spetto	21-0	cremoni-
0	26-0	eh	21-1	eh
0	26-1	non	21-2	non
0	26-2	l'	21-3	l'
0	26-3	ho	21-4	ho
0	26-4	ancora	21-5	ancora
0	26-5	incontrato	21-6	incontrato
0	26-6	cremonini	21-7	cremonini
0	26-7	{ride}	21-8	{ride}
1	27-0	neanche	_	_
1	27-1	io	_	_
1	27-2	mai	_	_
0	28-0	però	22-0	però
1	28-1	ho	_	_
2	28-2	detto	22-1	in
2	28-3	sì	22-2	questi
0	28-4	tre	22-3	tre
0	28-5	anni	22-4	anni
0	28-6	perché	22-5	perché
0	28-7	io	22-6	io
1	28-8	ci	_	_
1	28-9	andavo	_	_
2	28-10	nel	22-7	sono
2	28-11	duemila	22-8	dal
2	28-12	diciotto	22-9	duemiladiciotto
2	28-13	diciannove	22-10	x
0	28-14	sì	22-11	sì
0	28-15	tre	22-12	tre
0	28-16	anni	22-13	anni
0	28-17	che	22-14	che
0	28-18	sono	22-15	sono
0	28-19	lì	22-16	lì
0	28-20	non	22-17	non
0	28-21	ho	22-18	ho
0	28-22	ancora	22-19	ancora
2	28-23	x	22-20	incrociato
2	28-24	quindi	22-21	cremonini
0	28-25	{ride}	22-22	{ride}
2	29-0	vabbé	23-0	vabbè
0	29-1	magari	23-1	magari
0	29-2	dai	23-2	dai
0	29-3	quest'	23-3	quest'
0	29-4	anno	23-4	anno
0	29-5	sarà	23-5	sarà
1	29-6	{ride}	_	_
0	29-7	l'	23-6	l'
0	29-8	anno	23-7	anno
0	29-9	buono	23-8	buono
2	30-0	ah	24-0	ma
0	30-1	sì	24-1	sì
0	30-2	chissà	24-2	chissà
2	31-0	allora	24-3	infatti
2	31-1	perfetto	24-4	infatti
2	32-0	e	25-0	eh
0	32-1	anche	25-1	anche
1	32-2	mh	_	_
1	32-3	{P}	_	_
0	32-4	per	25-2	per
0	32-5	il	25-3	il
0	32-6	fatto	25-4	fatto
0	32-7	che	25-5	che
0	32-8	hanno	25-6	hanno
0	32-9	messo	25-7	messo
0	32-10	le	25-8	le
0	32-11	luci	25-9	luci
0	32-12	con	25-10	con
0	32-13	le	25-11	le
0	32-14	scritte	25-12	scritte
0	32-15	delle	25-13	delle
0	32-16	canzoni	25-14	canzoni
0	32-17	cosa	25-15	cosa
0	32-18	ne	25-16	ne
0	32-19	pensi	25-17	pensi
0	33-0	ah	26-0	ah
0	33-1	bello	26-1	bello
0	33-2	quello	26-2	quello
0	33-3	mi	26-3	mi
0	33-4	è	26-4	è
0	33-5	piaciuto	26-5	piaciuto
0	33-6	molto	26-6	molto
1	33-7	si	_	_
2	33-8	si	26-7	sìsì
0	33-9	quello	26-8	quello
0	34-0	ci	27-0	ci
0	34-1	stava	27-1	stava
0	34-2	secondo	27-2	secondo
0	34-3	me	27-3	me
0	34-4	perché	27-4	perché
2	34-5	ghe	27-5	eh
0	34-6	dai	27-6	dai
0	34-7	cremonini	27-7	cremonini
0	34-8	comunque	27-8	comunque
0	34-9	è	27-9	è
0	34-10	il	27-10	il
0	34-11	cantante	27-11	cantante
0	34-12	di	27-12	di
0	34-13	bolo-	27-13	bolo-
0	34-14	cioè	27-14	cioè
1	34-15	a	_	_
2	34-16	parte	27-15	apparte
0	34-17	lucio	27-16	lucio
0	34-18	dalla	27-17	dalla
0	34-19	ovviamente	27-18	ovviamente
0	34-20	però	27-19	però
0	35-0	bello	28-0	bello
0	36-0	sì	29-0	sì
0	37-0	che	30-0	che
0	37-1	poi	30-1	poi
0	37-2	hanno	30-2	hanno
0	37-3	messo	30-3	messo
0	37-4	anche	30-4	anche
0	37-5	le	30-5	le
0	37-6	sue	30-6	sue
1	_	_	30-7	vero
0	38-0	e	31-0	e
0	38-1	infatti	31-1	infatti
0	38-2	poi	31-2	poi
1	38-3	hanno	_	_
2	38-4	messo	31-3	x
0	38-5	hanno	31-4	hanno
0	38-6	messo	31-5	messo
0	38-7	anche	31-6	anche
0	38-8	le	31-7	le
0	38-9	sue	31-8	sue
1	39-0	si	_	_
2	39-1	si	32-0	sìsì
0	40-0	eh	33-0	eh
0	41-0	però	33-1	però
0	41-1	ci	33-2	ci
0	41-2	sta	33-3	sta
2	41-3	eh	33-4	è
0	41-4	cantante	33-5	cantante
0	41-5	moderno	33-6	moderno
0	41-6	diciamo	33-7	diciamo
0	41-7	più	33-8	più
0	42-0	mhmh	34-0	mhmh
0	42-1	anche	34-1	anche
0	42-2	secondo	34-2	secondo
0	42-3	me	34-3	me
0	43-0	più	35-0	più
0	43-1	bolognese	35-1	bolognese
1	_	_	36-0	e
0	44-0	invece	36-1	invece
0	44-1	il	36-2	il
0	44-2	tuo	36-3	tuo
0	44-3	posto	36-4	posto
0	44-4	del	36-5	del
0	44-5	cuore	36-6	cuore
0	44-6	di	36-7	di
0	44-7	bologna	36-8	bologna
1	_	_	37-0	carino
0	45-0	non	38-0	non
0	45-1	so	38-1	so
0	45-2	anche	38-2	anche
0	45-3	solo	38-3	solo
0	45-4	un	38-4	un
0	45-5	bar	38-5	bar
0	45-6	a	38-6	a
0	45-7	cui	38-7	cui
0	45-8	sei	38-8	sei
0	45-9	particolarmente	38-9	particolarmente
0	45-10	affezionata	38-10	affezionata
2	46-0	mhmh	39-0	mh
0	47-0	mh	40-0	mh
0	48-0	eh	41-0	eh
0	48-1	forse	41-1	forse
0	48-2	mh	41-2	mh
0	49-0	mangiare	42-0	mangiare
0	49-1	un	42-1	un
0	49-2	gelato	42-2	gelato
0	49-3	seduti	42-3	seduti
2	49-4	sulle	42-4	sul
2	49-5	gradine	42-5	gradino
0	49-6	di	42-6	di
0	49-7	piazza	42-7	piazza
0	49-8	santo	42-8	santo
0	49-9	stefano	42-9	stefano
0	49-10	{ride}	42-10	{ride}
0	50-0	ah	43-0	ah
0	51-0	lì	43-1	lì
0	51-1	è	43-2	è
0	51-2	bellissimo	43-3	bellissimo
2	52-0	piazza	44-0	perché
2	52-1	di	44-1	lì
0	52-2	piazza	44-2	piazza
0	52-3	santo	44-3	santo
0	52-4	stefano	44-4	stefano
0	52-5	mi	44-5	mi
0	52-6	piace	44-6	piace
0	52-7	molto	44-7	molto
0	52-8	poi	44-8	poi
0	52-9	c'	44-9	c'
0	52-10	è	44-10	è
0	52-11	di	44-11	di
0	52-12	fianco	44-12	fianco
0	52-13	la	44-13	la
0	52-14	mia	44-14	mia
0	52-15	gelateria	44-15	gelateria
0	52-16	preferita	44-16	preferita
0	53-0	e	45-0	e
0	53-1	quindi	45-1	quindi
0	53-2	spesso	45-2	spesso
0	53-3	d'	45-3	d'
0	53-4	estate	45-4	estate
1	53-5	con	_	_
2	53-6	il	45-5	col
0	53-7	mio	45-6	mio
0	53-8	ragazzo	45-7	ragazzo
0	53-9	andiamo	45-8	andiamo
0	53-10	andiamo	45-9	andiamo
0	53-11	lì	45-10	lì
0	53-12	prendiamo	45-11	prendiamo
