match	id_A	token_A	id_B	token_B
0	1-0	per	1-0	per
0	1-1	quattro	1-1	quattro
0	2-0	no	2-0	no
0	2-1	un	2-1	un
0	2-2	chilo	2-2	chilo
1	2-3	e	_	_
0	2-4	settecento	2-3	settecento
0	2-5	grammi	2-4	grammi
0	2-6	di	2-5	di
0	2-7	pasta	2-6	pasta
0	3-0	eh	3-0	eh
0	3-1	vabbè	3-1	vabbè
1	_	_	3-2	ma
0	3-2	perché	3-3	perché
0	3-3	quello	3-4	quello
0	3-4	il	3-5	il
0	3-5	padre	3-6	padre
0	3-6	se	3-7	se
0	3-7	ne	3-8	ne
0	3-8	mangia	3-9	mangia
0	3-9	assai	3-10	assai
0	3-10	io	3-11	io
0	3-11	so	3-12	so
0	4-0	con	4-0	con
0	4-1	due	4-1	due
0	5-0	il	5-0	il
0	5-1	padre	5-1	padre
0	5-2	va	5-2	va
0	5-3	e	5-3	e
0	5-4	ne	5-4	ne
0	5-5	mangia	5-5	mangia
0	5-6	ne	5-6	ne
0	5-7	mangia	5-7	mangia
0	5-8	una	5-8	una
2	5-9	scotella	5-9	scodella
0	5-10	di	5-10	di
0	5-11	insalata	5-11	insalata
2	6-0	ah	6-0	eh
0	7-0	con	7-0	con
0	7-1	due	7-1	due
0	7-2	vasetti	7-2	vasetti
0	7-3	del	7-3	del
0	7-4	pesto	7-4	pesto
0	7-5	quello	7-5	quello
0	7-6	là	7-6	là
0	7-7	barilla	7-7	barilla
0	7-8	rico-	8-0	rico-
1	8-0	eh	_	_
2	8-1	ma	9-0	vabbè
0	8-2	grazie	9-1	grazie
1	_	_	9-2	co
0	8-3	settecento	9-3	settecento
0	8-4	grammi	9-4	grammi
0	8-5	di	9-5	di
0	8-6	pasta	9-6	pasta
0	9-0	ricotta	10-0	ricotta
0	9-1	e	10-1	e
0	9-2	noci	10-2	noci
0	10-0	non	11-0	non
0	10-1	contenta	11-1	contenta
1	10-2	{P}	_	_
0	10-3	il	12-0	il
0	10-4	fiordilatte	12-1	fiordilatte
0	10-5	dentro	12-2	dentro
0	11-0	non	13-0	non
0	11-1	contenta	13-1	contenta
1	11-2	{P}	_	_
0	11-3	il	14-0	il
0	11-4	parmigiano	14-1	parmigiano
0	11-5	sopra	14-2	sopra
0	12-0	e	15-0	e
0	12-1	lo	15-1	lo
2	12-2	scono	15-2	stona
0	13-0	non	16-0	non
2	13-1	contento	16-1	contenta
0	13-2	mi	16-2	mi
0	13-3	ha	16-3	ha
0	13-4	detto	16-4	detto
0	13-5	eh	16-5	eh
0	13-6	se	16-6	se
0	13-7	c'	16-7	c'
0	13-8	avevo	16-8	avevo
1	13-9	gli	_	_
2	13-10	x	16-9	le
2	13-11	ci	16-10	noci
0	13-12	mettevo	16-11	mettevo
0	13-13	pure	16-12	pure
0	13-14	le	16-13	le
0	13-15	noci	16-14	noci
0	13-16	sopra	16-15	sopra
1	_	_	17-0	ah
0	14-0	no	17-1	no
2	15-0	bravo	18-0	no
0	16-0	che	19-0	che
0	16-1	bravo	19-1	bravo
2	17-0	ma	20-0	ua
0	17-1	mi	20-1	mi
0	17-2	piacevano	20-2	piacevano
0	17-3	tanto	20-3	tanto
0	17-4	quelle	20-4	quelle
0	17-5	zucchine	20-5	zucchine
0	17-6	le	20-6	le
0	17-7	avete	20-7	avete
0	17-8	mangiate	20-8	mangiate
0	17-9	tutte	20-9	tutte
1	_	_	21-0	mh
0	18-0	sorry	22-0	sorry
1	18-1	{P}	_	_
0	18-2	te	22-1	te
0	18-3	le	22-2	le
0	18-4	rifaccio	22-3	rifaccio
0	18-5	prima	22-4	prima
0	18-6	che	22-5	che
0	18-7	te	22-6	te
0	18-8	ne	22-7	ne
0	18-9	vai	22-8	vai
2	19-0	mhmh	23-0	eh
0	20-0	{ride}	24-0	{ride}
2	20-1	ma	24-1	prima
0	20-2	che	24-2	che
0	20-3	te	24-3	te
0	20-4	ne	24-4	ne
0	20-5	vai	24-5	vai
0	21-0	mh	25-0	mh
1	_	_	26-0	dov'
2	22-0	ti	26-1	è
2	22-1	piace	26-2	che
2	22-2	andar	26-3	va
0	22-3	via	26-4	via
