match	id_A	token_A	id_B	token_B
1	_	_	1-0	eh
0	1-0	come	1-1	come
2	1-1	tavacco	1-2	tabacco
0	1-2	no	1-3	no
0	1-3	eh	1-4	eh
0	1-4	di	1-5	di
0	1-5	là	1-6	là
0	1-6	{P}	1-7	{P}
0	1-7	lavorando	1-8	lavorando
0	1-8	più	1-9	più
0	1-9	di	1-10	di
2	1-10	tre	1-11	tre-
0	1-11	tremila	1-12	tremila
0	1-12	persone	1-13	persone
0	1-13	non	1-14	non
0	1-14	sono	1-15	sono
0	1-15	esattamente	1-16	esattamente
0	1-16	o	1-17	o
0	1-17	tremila	1-18	tremila
0	1-18	o	1-19	o
1	1-19	trenta	_	_
2	1-20	mila	1-20	trentamila
0	1-21	ma	1-21	ma
0	1-22	tremila	1-22	tremila
0	1-23	che	1-23	che
0	1-24	facciamo	1-24	facciamo
0	2-0	okay	2-0	okay
0	3-0	mhmh	3-0	mhmh
0	4-0	mhmh	4-0	mhmh
0	5-0	ma	5-0	ma
0	5-1	{P}	5-1	{P}
0	5-2	non	5-2	non
0	5-3	si	5-3	si
0	5-4	trovano	5-4	trovano
0	5-5	adesso	5-5	adesso
0	5-6	neanche	5-6	neanche
0	5-7	là	5-7	là
0	5-8	gli	5-8	gli
0	5-9	appartamenti	5-9	appartamenti
0	6-0	eh	6-0	eh
0	6-1	esatto	6-1	esatto
0	6-2	te	6-2	te
0	6-3	lo	6-3	lo
0	6-4	era	6-4	era
0	6-5	{P}	6-5	{P}
0	6-6	questo	6-6	questo
0	6-7	che	6-7	che
0	6-8	volevo	6-8	volevo
0	6-9	chiederti	6-9	chiederti
0	7-0	perché	7-0	perché
0	8-0	eh	8-0	eh
0	8-1	sì	8-1	sì
0	9-0	se	9-0	se
0	9-1	tutti	9-1	tutti
0	9-2	vogliono	9-2	vogliono
0	9-3	vivere	9-3	vivere
0	9-4	lì	9-4	lì
0	10-0	sì	10-0	sì
0	10-1	{P}	10-1	{P}
0	10-2	non	10-2	non
0	10-3	si	10-3	si
0	10-4	trovano	10-4	trovano
0	10-5	appartamenti	10-5	appartamenti
0	10-6	{P}	10-6	{P}
0	10-7	la	10-7	la
0	10-8	verità	10-8	verità
0	11-0	mhmh	11-0	mhmh
0	12-0	mhmh	12-0	mhmh
0	13-0	piuttosto	13-0	piuttosto
0	13-1	che	13-1	che
0	13-2	ci	13-2	ci
0	13-3	sono	13-3	sono
0	13-4	un	13-4	un
0	13-5	sacco	13-5	sacco
0	13-6	di	13-6	di
0	13-7	gente	13-7	gente
0	14-0	come	14-0	come
0	14-1	non	14-1	non
0	14-2	vuole	14-2	vuole
0	14-3	dare	14-3	dare
0	14-4	{P}	14-4	{P}
0	14-5	appartamenti	14-5	appartamenti
0	14-6	per	14-6	per
0	14-7	la	14-7	la
0	14-8	famiglia	14-8	famiglia
0	15-0	un	15-0	un
0	15-1	po'	15-1	po'
0	15-2	che	15-2	che
0	15-3	danno	15-3	danno
0	15-4	un	15-4	un
0	15-5	po'	15-5	po'
0	15-6	di	15-6	di
0	15-7	persone	15-7	persone
0	15-8	{P}	15-8	{P}
0	15-9	che	15-9	che
0	15-10	dopo	15-10	dopo
0	15-11	fanno	15-11	fanno
0	15-12	la	15-12	la
0	15-13	storia	15-13	storia
0	16-0	mhmh	16-0	mhmh
0	17-0	allora	17-0	allora
0	18-0	mhmh	18-0	mhmh
0	19-0	per	19-0	per
0	19-1	pochi	19-1	pochi
0	19-2	che	19-2	che
0	19-3	tutti	19-3	tutti
0	19-4	quanti	19-4	quanti
0	20-0	sì	20-0	sì
