match	id_A	token_A	id_B	token_B
0	1-0	persone	1-0	persone
0	1-1	che	1-1	che
0	1-2	magari	1-2	magari
0	1-3	puoi	1-3	puoi
2	1-4	avere	1-4	aver
0	1-5	incontrato	1-5	incontrato
0	1-6	un	1-6	un
0	1-7	po'	1-7	po'
1	2-0	mh	_	_
0	3-0	bah	2-0	bah
0	3-1	eh	2-1	eh
1	_	_	2-2	{P}
2	4-0	si	2-3	sì
0	4-1	cioè	2-4	cioè
0	4-2	è	2-5	è
0	4-3	sempre	2-6	sempre
0	4-4	pieno	2-7	pieno
1	_	_	2-8	di
2	4-5	dipersone	2-9	persone
0	4-6	che	2-10	che
0	4-7	fanno	2-11	fanno
1	4-8	l'	_	_
2	4-9	elemosina	2-12	emosina
0	4-10	sotto	2-13	sotto
0	4-11	i	2-14	i
0	4-12	portici	2-15	portici
0	5-0	mhmh	3-0	mhmh
0	6-0	soprattutto	4-0	soprattutto
2	6-1	su	4-1	se
2	6-2	via	4-2	vieni
0	6-3	indipendenza	4-3	indipendenza
0	6-4	ce	4-4	ce
0	6-5	ne	4-5	ne
0	6-6	sono	4-6	sono
0	6-7	diversi	4-7	diversi
0	7-0	sì	5-0	sì
0	7-1	è	5-1	è
0	7-2	vero	5-2	vero
0	8-0	anche	6-0	anche
0	8-1	sotto	6-1	sotto
0	8-2	i	6-2	i
0	8-3	portici	6-3	portici
0	8-4	di	6-4	di
0	8-5	via	6-5	via
1	_	_	6-6	{P}
0	9-0	di	6-7	di
0	9-1	viale	6-8	viale
1	_	_	6-9	{P}
0	10-0	mh	6-10	mh
0	10-1	masini	6-11	masini
0	11-0	perché	7-0	perché
0	11-1	io	7-1	io
0	11-2	passo	7-2	passo
0	11-3	spesso	7-3	spesso
0	11-4	di	7-4	di
0	11-5	lì	7-5	lì
2	12-0	eh	8-0	ehm
0	13-0	però	9-0	però
1	_	_	9-1	a
2	13-1	apparte	9-2	parte
0	13-2	insomma	9-3	insomma
0	13-3	persone	9-4	persone
0	13-4	che	9-5	che
0	13-5	fanno	9-6	fanno
0	13-6	l'	9-7	l'
0	13-7	elemosina	9-8	elemosina
1	_	_	9-9	si
2	13-8	sì	10-0	mhmh
0	13-9	mh	11-0	mh
0	13-10	ah	11-1	ah
1	_	_	11-2	{P}
0	13-11	incontri	11-3	incontri
0	13-12	anche	11-4	anche
0	13-13	molte	11-5	molte
0	13-14	persone	11-6	persone
0	13-15	che	11-7	che
0	13-16	ti	11-8	ti
0	13-17	fermano	11-9	fermano
0	13-18	per	11-10	per
1	14-0	mhmh	_	_
0	15-0	sì	12-0	sì
1	_	_	12-1	{ride}
2	16-0	per	12-2	esatto
0	16-1	chiederti	13-0	chiederti
0	16-2	di	13-1	di
0	16-3	fare	13-2	fare
2	16-4	beneficienza	13-3	beneficenza
0	16-5	{ride}	13-4	{ride}
0	16-6	le	13-5	le
0	16-7	classiche	13-6	classiche
0	16-8	persone	13-7	persone
0	16-9	che	13-8	che
0	16-10	sono	13-9	sono
0	16-11	sotto	13-10	sotto
2	16-12	ai	13-11	i
0	16-13	portici	13-12	portici
1	17-0	{ride}	_	_
1	17-1	esatto	_	_
1	18-0	eh	_	_
2	18-1	mh	14-0	ehm
0	18-2	a	15-0	a
0	18-3	volte	15-1	volte
1	_	_	15-2	{P}
0	18-4	persone	15-3	persone
0	18-5	famose	15-4	famose
0	18-6	ogni	15-5	ogni
0	18-7	tanto	15-6	tanto
0	18-8	una	15-7	una
0	18-9	volta	15-8	volta
1	18-10	ho	_	_
0	18-11	incontrato	15-9	incontrato
0	18-12	piff	15-10	piff
0	18-13	ad	15-11	ad
0	18-14	esempio	15-12	esempio
0	19-0	ah	16-0	ah
2	19-1	ah	16-1	sì
2	19-2	ah	16-2	sì
2	19-3	sìsìsì	16-3	sì
0	20-0	eh	17-0	eh
1	_	_	17-1	so
1	_	_	17-2	che
1	_	_	17-3	era
2	20-1	x	17-4	in
0	20-2	un	17-5	un
0	20-3	hotel	17-6	hotel
0	20-4	che	17-7	che
0	20-5	è	17-8	è
0	20-6	lì	17-9	lì
0	20-7	su	17-10	su
0	20-8	via	17-11	via
0	20-9	indipendenza	17-12	indipendenza
0	21-0	anche	18-0	anche
0	21-1	cremonini	18-1	cremonini
0	21-2	dicono	18-2	dicono
0	21-3	che	18-3	che
0	21-4	si	18-4	si
1	21-5	aspetti	_	_
1	21-6	x	_	_
1	21-7	neanche	_	_
1	21-8	io	_	_
1	21-9	mai	_	_
2	22-0	cremoni-	18-5	aspettano
0	22-1	eh	19-0	eh
0	22-2	non	19-1	non
1	22-3	l'	_	_
0	22-4	ho	19-2	ho
0	22-5	ancora	19-3	ancora
0	22-6	incontrato	19-4	incontrato
1	_	_	19-5	i
0	22-7	cremonini	19-6	cremonini
0	22-8	{ride}	19-7	{ride}
1	_	_	20-0	x
1	_	_	20-1	neanche
1	_	_	20-2	io
1	_	_	20-3	x
0	23-0	però	21-0	però
2	23-1	in	21-1	x
2	23-2	questi	21-2	sì
0	23-3	tre	21-3	tre
0	23-4	anni	21-4	anni
0	23-5	perché	21-5	perché
0	23-6	io	21-6	io
0	23-7	sono	21-7	sono
0	23-8	dal	21-8	dal
0	23-9	duemiladiciotto	21-9	duemiladiciotto
2	23-10	x	21-10	diciannove
0	23-11	sì	21-11	sì
0	23-12	tre	21-12	tre
0	23-13	anni	21-13	anni
0	23-14	che	21-14	che
0	23-15	sono	21-15	sono
0	23-16	lì	21-16	lì
0	23-17	non	21-17	non
0	23-18	ho	21-18	ho
0	23-19	ancora	21-19	ancora
0	23-20	incrociato	21-20	incrociato
0	23-21	cremonini	21-21	cremonini
1	23-22	{ride}	_	_
2	24-0	vabbè	22-0	beh
0	24-1	magari	22-1	magari
0	24-2	dai	22-2	dai
0	24-3	quest'	22-3	quest'
0	24-4	anno	22-4	anno
0	24-5	sarà	22-5	sarà
1	_	_	22-6	{ride}
0	24-6	l'	22-7	l'
0	24-7	anno	22-8	anno
0	24-8	buono	22-9	buono
1	_	_	23-0	{ride}
0	25-0	ma	23-1	ma
0	25-1	sì	23-2	sì
1	25-2	chissà	_	_
2	25-3	infatti	23-3	x
0	25-4	infatti	23-4	infatti
2	26-0	eh	24-0	e
0	26-1	anche	24-1	anche
1	_	_	24-2	ehm
1	_	_	24-3	{P}
0	26-2	per	24-4	per
0	26-3	il	24-5	il
0	26-4	fatto	24-6	fatto
0	26-5	che	24-7	che
0	26-6	hanno	24-8	hanno
0	26-7	messo	24-9	messo
0	26-8	le	24-10	le
0	26-9	luci	24-11	luci
0	26-10	con	24-12	con
0	26-11	le	24-13	le
0	26-12	scritte	24-14	scritte
0	26-13	delle	24-15	delle
