match	id_A	token_A	id_B	token_B
0	1-0	per	1-0	per
0	1-1	quattro	1-1	quattro
1	2-0	no	_	_
2	2-1	n~	2-0	non
0	2-2	un	2-1	un
2	2-3	kilo	2-2	chilo
0	2-4	settecento	2-3	settecento
0	2-5	grammi	2-4	grammi
0	2-6	di	2-5	di
0	2-7	pasta	2-6	pasta
2	3-0	eh	3-0	e
0	3-1	vabbè	3-1	vabbè
0	3-2	ma	3-2	ma
0	3-3	perché	3-3	perché
0	3-4	quello	3-4	quello
0	3-5	il	3-5	il
2	3-6	padre	3-6	pane
0	3-7	se	3-7	se
0	3-8	ne	3-8	ne
0	3-9	mangia	3-9	mangia
0	3-10	assai	3-10	assai
0	3-11	io	3-11	io
0	3-12	so	3-12	so
0	4-0	con	4-0	con
0	4-1	due	4-1	due
0	5-0	il	5-0	il
0	5-1	padre	5-1	padre
1	5-2	man~	_	_
2	5-3	ne	5-2	van-
0	5-4	mangia	5-3	mangia
0	5-5	ne	5-4	ne
0	5-6	mangia	5-5	mangia
0	5-7	una	5-6	una
0	5-8	scodella	5-7	scodella
2	5-9	da	5-8	d'
0	5-10	insalata	5-9	insalata
2	6-0	eh	6-0	ah
0	7-0	con	7-0	con
0	7-1	due	7-1	due
0	7-2	vasetti	7-2	vasetti
0	8-0	del	7-3	del
0	8-1	pesto	7-4	pesto
0	8-2	quello	7-5	quello
0	8-3	là	7-6	là
0	8-4	barilla	7-7	barilla
0	9-0	vabbè	8-0	vabbè
0	9-1	grazie	8-1	grazie
2	9-2	con	8-2	so
0	9-3	settecento	8-3	settecento
0	9-4	grammi	8-4	grammi
0	9-5	di	8-5	di
0	9-6	pasta	8-6	pasta
1	_	_	9-0	un
2	10-0	rico~	9-1	po'
0	11-0	ricotta	10-0	ricotta
0	11-1	e	10-1	e
0	11-2	noci	10-2	noci
0	12-0	non	10-3	non
0	12-1	contenta	10-4	contenta
0	13-0	il	10-5	il
0	13-1	fior	10-6	fior
0	13-2	di	10-7	di
0	13-3	latte	10-8	latte
0	13-4	dentro	10-9	dentro
0	14-0	non	10-10	non
0	14-1	contenta	10-11	contenta
0	15-0	il	10-12	il
0	15-1	parmigiano	10-13	parmigiano
0	15-2	sopra	10-14	sopra
2	16-0	e	11-0	che
0	16-1	non	11-1	non
0	16-2	stona	11-2	stona
0	17-0	non	12-0	non
0	17-1	contenta	12-1	contenta
0	17-2	mi	12-2	mi
2	17-3	ha	12-3	hai
0	17-4	detto	12-4	detto
2	17-5	eh	12-5	ah
0	17-6	se	12-6	se
0	17-7	c'	12-7	c'
0	17-8	avevo	12-8	avevo
0	17-9	le	12-9	le
0	17-10	noci	12-10	noci
0	17-11	mettevo	12-11	mettevo
0	17-12	pure	12-12	pure
0	17-13	le	12-13	le
0	17-14	noci	12-14	noci
0	17-15	sopra	12-15	sopra
0	18-0	no	13-0	no
2	19-0	marò	14-0	no
2	20-0	esagerata	15-0	x
2	21-0	ua	16-0	guà
0	21-1	mi	16-1	mi
0	21-2	piacevano	16-2	piacevano
0	21-3	tanto	16-3	tanto
0	21-4	quelle	16-4	quelle
0	21-5	zucchine	16-5	zucchine
0	21-6	le	16-6	le
0	21-7	avete	16-7	avete
0	21-8	mangiate	16-8	mangiate
0	21-9	tutte	16-9	tutte
1	22-0	mh	_	_
0	23-0	sorry	17-0	sorry
0	24-0	te	18-0	te
0	24-1	le	18-1	le
0	24-2	rifaccio	18-2	rifaccio
0	24-3	prima	18-3	prima
0	24-4	che	18-4	che
0	24-5	te	18-5	te
0	24-6	ne	18-6	ne
0	24-7	vai	18-7	vai
0	25-0	eh	19-0	eh
2	26-0	prima	20-0	ma
0	26-1	che	20-1	che
0	26-2	te	20-2	te
0	26-3	ne	20-3	ne
0	26-4	vai	20-4	vai
0	27-0	mh	21-0	mh
1	_	_	22-0	dov'
0	28-0	è	22-1	è
1	28-1	lui	_	_
0	28-2	che	22-2	che
0	28-3	va	22-3	va
0	28-4	via	22-4	via
0	29-0	sai	23-0	sai
0	29-1	che	23-1	che
0	29-2	possiamo	23-2	possiamo
0	29-3	fare	23-3	fare
1	30-0	mhmh	_	_
