match	id_A	token_A	id_B	token_B
0	1-0	per	1-0	per
0	1-1	quattro	1-1	quattro
0	2-0	non	2-0	non
2	2-1	un	2-1	uno
0	2-2	chilo	2-2	chilo
0	2-3	settecento	2-3	settecento
0	2-4	grammi	2-4	grammi
0	2-5	di	2-5	di
0	2-6	pasta	2-6	pasta
0	3-0	e	3-0	e
2	3-1	vabbè	3-1	vabbé
0	3-2	ma	3-2	ma
1	3-3	perché	_	_
0	3-4	quello	3-3	quello
1	_	_	3-4	è
0	3-5	il	3-5	il
1	3-6	pane	_	_
1	3-7	se	_	_
2	3-8	ne	3-6	padre
2	3-9	mangia	3-7	sai
2	3-10	assai	3-8	mando
2	3-11	io	3-9	sta
0	3-12	so	3-10	so
0	4-0	con	4-0	con
2	4-1	due	4-1	quell-
0	5-0	il	5-0	il
0	5-1	padre	5-1	padre
2	5-2	van-	5-2	man-
0	5-3	mangia	5-3	mangia
0	5-4	ne	5-4	ne
0	5-5	mangia	5-5	mangia
0	5-6	una	5-6	una
0	5-7	scodella	5-7	scodella
2	5-8	d'	5-8	di
0	5-9	insalata	5-9	insalata
0	6-0	ah	6-0	ah
0	7-0	con	7-0	con
0	7-1	due	7-1	due
0	7-2	vasetti	7-2	vasetti
0	7-3	del	7-3	del
0	7-4	pesto	7-4	pesto
0	7-5	quello	7-5	quello
0	7-6	là	7-6	là
0	7-7	barilla	7-7	barilla
1	_	_	8-0	vabbé
1	_	_	8-1	tanto
1	_	_	8-2	e
2	8-0	vabbè	8-3	t-t-
2	8-1	grazie	8-4	tutti
2	8-2	so	8-5	e
2	8-3	settecento	8-6	due
2	8-4	grammi	8-7	programmi
0	8-5	di	8-8	di
0	8-6	pasta	8-9	pasta
2	9-0	un	9-0	e
2	9-1	po'	9-1	poi
2	10-0	ricotta	10-0	ricotte
0	10-1	e	10-1	e
2	10-2	noci	10-2	noci'
0	10-3	non	11-0	non
0	10-4	contenta	11-1	contenta
0	10-5	il	12-0	il
0	10-6	fior	12-1	fior
0	10-7	di	12-2	di
0	10-8	latte	12-3	latte
0	10-9	dentro	12-4	dentro
0	10-10	non	13-0	non
0	10-11	contenta	13-1	contenta
0	10-12	il	14-0	il
0	10-13	parmigiano	14-1	parmigiano
0	10-14	sopra	14-2	sopra
2	11-0	che	15-0	e
0	11-1	non	15-1	non
2	11-2	stona	15-2	stono
0	12-0	non	16-0	non
0	12-1	contenta	16-1	contenta
1	12-2	mi	_	_
1	12-3	hai	_	_
1	12-4	detto	_	_
2	12-5	ah	16-2	per
2	12-6	se	16-3	tutta
2	12-7	c'	16-4	la
2	12-8	avevo	16-5	sessione
2	12-9	le	16-6	uagliò
2	12-10	noci	16-7	ci
2	12-11	mettevo	16-8	metto
0	12-12	pure	16-9	pure
0	12-13	le	16-10	le
0	12-14	noci	16-11	noci
0	12-15	sopra	16-12	sopra
0	13-0	no	17-0	no
0	14-0	no	18-0	no
1	_	_	19-0	ti
2	15-0	x	19-1	prego
2	16-0	guà	20-0	qua
0	16-1	mi	20-1	mi
0	16-2	piacevano	20-2	piacevano
0	16-3	tanto	20-3	tanto
0	16-4	quelle	20-4	quelle
0	16-5	zucchine	20-5	zucchine
0	16-6	le	20-6	le
0	16-7	avete	20-7	avete
0	16-8	mangiate	20-8	mangiate
0	16-9	tutte	20-9	tutte
1	_	_	21-0	mh
0	17-0	sorry	22-0	sorry
0	18-0	te	22-1	te
0	18-1	le	22-2	le
0	18-2	rifaccio	22-3	rifaccio
0	18-3	prima	22-4	prima
0	18-4	che	22-5	che
0	18-5	te	22-6	te
0	18-6	ne	22-7	ne
0	18-7	vai	22-8	vai
0	19-0	eh	23-0	eh
0	20-0	ma	24-0	ma
0	20-1	che	24-1	che
0	20-2	te	24-2	te
0	20-3	ne	24-3	ne
0	20-4	vai	24-4	vai
0	21-0	mh	25-0	mh
1	22-0	dov'	_	_
0	22-1	è	26-0	è
1	_	_	26-1	lei
0	22-2	che	26-2	che
0	22-3	va	26-3	va
0	22-4	via	26-4	via
0	23-0	sai	27-0	sai
0	23-1	che	27-1	che
0	23-2	possiamo	27-2	possiamo
