match	id_A	token_A	id_B	token_B
1	1-0	e	_	_
0	1-1	come	1-0	come
1	_	_	1-1	tavacco
2	1-2	x	1-2	no
2	2-0	okay	1-3	eh
2	3-0	e	1-4	di
0	3-1	là	1-5	là
0	3-2	{P}	1-6	{P}
0	3-3	lavorando	1-7	lavorando
0	3-4	più	1-8	più
0	3-5	di	1-9	di
0	3-6	tre	1-10	tre
0	3-7	tremila	1-11	tremila
0	3-8	persone	1-12	persone
1	4-0	mh	_	_
0	5-0	non	1-13	non
0	5-1	sono	1-14	sono
0	5-2	esattamente	1-15	esattamente
0	5-3	o	1-16	o
0	5-4	tremila	1-17	tremila
0	5-5	o	1-18	o
1	_	_	1-19	trenta
2	5-6	trentamila	1-20	mila
0	5-7	ma	1-21	ma
0	5-8	tremila	1-22	tremila
0	5-9	che	1-23	che
0	5-10	facciamo	1-24	facciamo
1	_	_	2-0	okay
1	_	_	3-0	mhmh
0	6-0	mhmh	4-0	mhmh
0	7-0	ma	5-0	ma
1	_	_	5-1	{P}
0	7-1	non	5-2	non
0	7-2	si	5-3	si
0	7-3	trovano	5-4	trovano
0	7-4	adesso	5-5	adesso
0	7-5	neanche	5-6	neanche
0	7-6	là	5-7	là
0	7-7	gli	5-8	gli
0	7-8	appartamenti	5-9	appartamenti
0	8-0	eh	6-0	eh
0	8-1	esatto	6-1	esatto
0	8-2	te	6-2	te
0	8-3	lo	6-3	lo
0	8-4	era	6-4	era
0	8-5	{P}	6-5	{P}
0	8-6	questo	6-6	questo
0	8-7	che	6-7	che
0	8-8	volevo	6-8	volevo
0	8-9	chiederti	6-9	chiederti
0	9-0	perché	7-0	perché
2	10-0	ah	8-0	eh
0	10-1	sì	8-1	sì
0	11-0	se	9-0	se
0	11-1	tutti	9-1	tutti
0	11-2	vogliono	9-2	vogliono
0	11-3	vivere	9-3	vivere
0	11-4	lì	9-4	lì
0	12-0	sì	10-0	sì
1	_	_	10-1	{P}
0	12-1	non	10-2	non
0	12-2	si	10-3	si
0	12-3	trovano	10-4	trovano
0	12-4	appartamenti	10-5	appartamenti
1	_	_	10-6	{P}
0	13-0	la	10-7	la
0	13-1	verità	10-8	verità
1	_	_	11-0	mhmh
0	14-0	mhmh	12-0	mhmh
0	15-0	piuttosto	13-0	piuttosto
0	15-1	che	13-1	che
1	15-2	{P}	_	_
0	15-3	ci	13-2	ci
0	15-4	sono	13-3	sono
0	15-5	un	13-4	un
0	15-6	sacco	13-5	sacco
0	15-7	di	13-6	di
2	15-8	aziende	13-7	gente
0	16-0	come	14-0	come
0	16-1	non	14-1	non
0	16-2	vuole	14-2	vuole
0	16-3	dare	14-3	dare
1	_	_	14-4	{P}
0	16-4	appartamenti	14-5	appartamenti
0	16-5	per	14-6	per
0	16-6	la	14-7	la
0	16-7	famiglia	14-8	famiglia
0	17-0	un	15-0	un
0	17-1	po'	15-1	po'
0	17-2	che	15-2	che
0	17-3	danno	15-3	danno
0	17-4	un	15-4	un
0	17-5	po'	15-5	po'
0	17-6	di	15-6	di
0	17-7	persone	15-7	persone
2	18-0	mhmh	15-8	{P}
0	19-0	che	15-9	che
0	19-1	dopo	15-10	dopo
0	19-2	fanno	15-11	fanno
0	19-3	la	15-12	la
0	19-4	storia	15-13	storia
1	_	_	16-0	mhmh
1	_	_	17-0	allora
2	20-0	ora	18-0	mhmh
0	21-0	per	19-0	per
0	21-1	pochi	19-1	pochi
0	21-2	che	19-2	che
0	21-3	tutti	19-3	tutti
0	21-4	quanti	19-4	quanti
1	22-0	{sospira}	_	_
0	23-0	sì	20-0	sì
0	23-1	sì	20-1	sì
0	23-2	sì	20-2	sì
0	23-3	certo	20-3	certo
0	23-4	capito	20-4	capito
2	24-0	mh	20-5	{P}
0	25-0	mh	20-6	mh
0	25-1	e	20-7	e
0	25-2	ma	20-8	ma
0	25-3	se	20-9	se
1	_	_	20-10	{P}
0	25-4	se	20-11	se
0	25-5	potessi	20-12	potessi
0	25-6	un	20-13	un
0	25-7	giorno	20-14	giorno
0	25-8	vorresti	20-15	vorresti
0	25-9	vivere	20-16	vivere
0	25-10	in	20-17	in
0	25-11	città	20-18	città
0	25-12	o	20-19	o
1	_	_	21-0	mh
1	_	_	22-0	mh
0	26-0	assolutamente	23-0	assolutamente
0	26-1	io	23-1	io
0	26-2	sto	23-2	sto
0	26-3	provando	23-3	provando
0	26-4	tutti	23-4	tutti
0	26-5	i	23-5	i
0	26-6	giorni	23-6	giorni
0	26-7	a	23-7	a
0	26-8	trovare	23-8	trovare
0	26-9	c'	23-9	c'
0	26-10	è	23-10	è
0	26-11	un	23-11	un
0	26-12	appartamento	23-12	appartamento
0	26-13	per	23-13	per
0	26-14	i	23-14	i
0	27-0	trasferire	23-15	trasferire
0	27-1	in	23-16	in
0	27-2	bologna	23-17	bologna
0	27-3	cioè	23-18	cioè
1	_	_	24-0	okay
1	_	_	25-0	mhmh
0	27-4	io	26-0	io
0	27-5	lavoro	26-1	lavoro
0	27-6	qui	26-2	qui
1	28-0	mhmh	_	_
0	29-0	è	27-0	è
0	29-1	inutile	27-1	inutile
0	29-2	che	27-2	che
0	29-3	io	27-3	io
0	29-4	vado	27-4	vado
1	_	_	27-5	{P}
0	29-5	a	27-6	a
0	30-0	esempio	28-0	esempio
0	30-1	faccio	28-1	faccio
0	30-2	così	28-2	così
0	30-3	una	28-3	una
0	30-4	una	28-4	una
0	30-5	una	28-5	una
0	30-6	ragionamento	28-6	ragionamento
0	31-0	se	28-7	se
1	_	_	28-8	{P}
0	31-1	lo	28-9	lo
0	31-2	trovo	28-10	trovo
1	31-3	{P}	_	_
0	31-4	una	28-11	una
0	31-5	casa	28-12	casa
0	31-6	in	28-13	in
0	31-7	bologna	28-14	bologna
0	32-0	che	29-0	che
0	32-1	{P}	29-1	{P}
0	32-2	mille	29-2	mille
0	32-3	euro	29-3	euro
0	32-4	{P}	29-4	{P}
0	32-5	facciamo	29-5	facciamo
1	33-0	mhmh	_	_
0	34-0	perché	29-6	perché
0	34-1	una	29-7	una
0	34-2	casa	29-8	casa
0	34-3	deve	29-9	deve
0	34-4	essere	29-10	essere
0	34-5	mille	29-11	mille
0	34-6	euro	29-12	euro
1	_	_	30-0	mhmh
0	34-7	e	31-0	e
1	_	_	31-1	{P}
0	35-0	non	31-2	non
0	35-1	è	31-3	è
0	35-2	che	31-4	che
0	35-3	deve	31-5	deve
0	35-4	essere	31-6	essere
0	35-5	soltanto	31-7	soltanto
0	35-6	una	31-8	una
0	35-7	camera	31-9	camera
1	_	_	31-10	un
2	35-8	u-	31-11	mon-
0	35-9	un	31-12	un
0	35-10	monolocale	31-13	monolocale
0	35-11	che	31-14	che
1	_	_	31-15	è
0	35-12	mille	31-16	mille
0	35-13	euro	31-17	euro
0	35-14	no	31-18	no
0	36-0	è	32-0	è
0	36-1	troppo	32-1	troppo
0	37-0	è	33-0	è
0	37-1	troppo	33-1	troppo
0	37-2	sì	33-2	sì
0	38-0	deve	34-0	deve
0	38-1	essere	34-1	essere
0	38-2	almeno	34-2	almeno
0	38-3	tre	34-3	tre
2	38-4	camere	34-4	camera
0	38-5	di	34-5	di
0	38-6	letto	34-6	letto
0	38-7	per	34-7	per
0	38-8	per	34-8	per
0	38-9	mille	34-9	mille
0	38-10	euro	34-10	euro
1	_	_	34-11	mille
1	_	_	34-12	due
2	38-11	milledue	34-13	mille
2	38-12	millecento	34-14	cento
0	38-13	facciamo	34-15	facciamo
0	38-14	così	34-16	così
0	39-0	sì	35-0	sì
0	39-1	sì	35-1	sì
0	39-2	sì	35-2	sì
0	40-0	mhmh	36-0	mhmh
0	41-0	se	37-0	se
0	41-1	vado	37-1	vado
0	41-2	a	37-2	a
0	41-3	valsamoggia	37-3	valsamoggia
1	42-0	con	_	_
2	42-1	i	38-0	ogni
2	42-2	x	38-1	mese
0	42-3	io	38-2	io
0	42-4	spendo	38-3	spendo
0	42-5	c-	38-4	c-
0	42-6	più	38-5	più
0	42-7	di	38-6	di
0	42-8	duecento	38-7	duecento
0	42-9	euro	38-8	euro
0	42-10	di	38-9	di
0	42-11	benzina	38-10	benzina
0	43-0	sì	39-0	sì
0	43-1	sì	39-1	sì
0	43-2	{P}	39-2	{P}
0	43-3	e	39-3	e
0	43-4	il	39-4	il
0	43-5	parcheggio	39-5	parcheggio
0	44-0	e	40-0	e
0	44-1	parcheggio	40-1	parcheggio
0	44-2	più	40-2	più
2	44-3	{P}	41-0	sì
0	44-4	facciamo	42-0	facciamo
0	44-5	trecentocinquanta	42-1	trecentocinquanta
0	44-6	euro	42-2	euro
0	44-7	di	42-3	di
0	44-8	ogni	42-4	ogni
0	44-9	mese	42-5	mese
0	45-0	sì	43-0	sì
0	46-0	sì	43-1	sì
1	_	_	43-2	{P}
2	46-1	sì	43-3	è
2	46-2	tantissimo	43-4	tantiss-
0	47-0	tantissimo	44-0	tantissimo
0	48-0	tantissimo	45-0	tantissimo
0	49-0	{ride}	46-0	{ride}
0	50-0	sì	47-0	sì
0	50-1	sì	47-1	sì
0	51-0	no	48-0	no
0	51-1	io	48-1	io
0	51-2	non	48-2	non
0	51-3	ho	48-3	ho
0	51-4	la	48-4	la
0	51-5	macchina	48-5	macchina
0	51-6	quindi	48-6	quindi
0	51-7	non	48-7	non
0	51-8	mi	48-8	mi
0	51-9	rendo	48-9	rendo
0	51-10	conto	48-10	conto
0	51-11	sento	48-11	sento
0	51-12	queste	48-12	queste
0	51-13	cifre	48-13	cifre
0	51-14	{ride}	48-14	{ride}
0	52-0	no	49-0	no
0	52-1	intendevo	49-1	intendevo
1	52-2	{P}	_	_
0	52-3	intendevo	49-2	intendevo
1	52-4	{P}	_	_
0	52-5	che	49-3	che
0	52-6	se	49-4	se
0	52-7	là	49-5	là
0	52-8	pago	49-6	pago
0	52-9	settecento	49-7	settecento
0	52-10	euro	49-8	euro
0	52-11	in	49-9	in
0	52-12	affitto	49-10	affitto
0	53-0	più	50-0	più
0	53-1	{P}	50-1	{P}
0	53-2	trecentocinquanta	50-2	trecentocinquanta
0	53-3	sono	50-3	sono
0	53-4	mille	50-4	mille
2	54-0	mhmh	51-0	mh
0	55-0	mhmh	52-0	mhmh
0	56-0	già	53-0	già
0	56-1	{P}	53-1	{P}
1	_	_	53-2	mille
1	_	_	53-3	mil-
1	_	_	53-4	mille
1	_	_	53-5	cento
0	56-2	mille	53-6	mille
2	56-3	eh.m	53-7	due
2	56-4	mill-	53-8	mille
2	56-5	millecento	53-9	cento
2	56-6	milleduemilacento	53-10	mil-
2	56-7	m	53-11	mille
2	56-8	milleduecento	53-12	duecento
0	56-9	dopo	53-13	dopo
0	56-10	perché	53-14	perché
0	56-11	non	53-15	non
0	56-12	è	53-16	è
0	56-13	che	53-17	che
1	_	_	53-18	è
0	56-14	solo	53-19	solo
1	_	_	53-20	che
0	56-15	devo	53-21	devo
0	56-16	pagare	53-22	pagare
0	56-17	la	53-23	la
0	56-18	macchina	53-24	macchina
0	57-0	sì	54-0	sì
0	57-1	sì	54-1	sì
0	57-2	sì	54-2	sì
1	_	_	55-0	mhmh
0	58-0	mhmh	56-0	mhmh
0	59-0	la	57-0	la
0	59-1	benzina	57-1	benzina
0	59-2	e	57-2	e
1	59-3	eh	_	_
0	60-0	e	58-0	e
0	60-1	anche	58-1	anche
0	60-2	il	58-2	il
0	60-3	parcheggio	58-3	parcheggio
0	60-4	no	58-4	no
0	60-5	devo	58-5	devo
2	60-6	pa-	58-6	fare
2	60-7	x	58-7	as-
0	61-0	sì	59-0	sì
0	61-1	sì	59-1	sì
0	61-2	sì	59-2	sì
0	62-0	sì	60-0	sì
0	62-1	sì	60-1	sì
0	62-2	sì	60-2	sì
0	63-0	allora	61-0	allora
0	63-1	come	61-1	come
0	63-2	la	61-2	la
0	63-3	città	61-3	città
0	63-4	{P}	61-4	{P}
0	63-5	se	61-5	se
0	63-6	tu	61-6	tu
0	63-7	paghi	61-7	paghi
0	63-8	duecento	61-8	duecento
2	63-9	euro	61-9	eu-
0	63-10	cioè	61-10	cioè
0	63-11	duecento	61-11	duecento
0	63-12	euro	61-12	euro
0	63-13	in	61-13	in
2	63-14	più	61-14	piú
2	64-0	mhmh	61-15	{P}
0	65-0	ma	61-16	ma
0	65-1	ti	61-17	ti
0	65-2	trovi	61-18	trovi
0	65-3	tutto	61-19	tutto
1	_	_	62-0	mhmh
0	66-0	certo	63-0	certo
0	66-1	sì	63-1	sì
2	67-0	certo	63-2	{P}
0	67-1	certo	63-3	certo
0	67-2	certo	63-4	certo
0	68-0	come	64-0	come
0	68-1	da	64-1	da
0	68-2	là	64-2	là
0	68-3	per	64-3	per
